,RM,Ano,ETANOL,GASOLINA,Relacao
0,Campo Grande,2013,2.0837636897001155,2.933737940026058,0.5356231856599665
1,Campo Grande,2014,2.1065957132298583,2.991692535107132,0.5489910861350803
2,Campo Grande,2015,2.2479341680129115,3.2160771405492645,0.5602392714873597
3,Campo Grande,2016,2.7482153941651126,3.3592934243176282,0.30896372232248254
4,Campo Grande,2017,3.0407022332506144,3.5888380893300074,0.25704239272207646
5,Campo Grande,2018,3.2649438305708447,4.151166437414034,0.3711292112532494
6,Campo Grande,2019,3.3209178807946893,4.046990274093737,0.30429877341312306
7,Região Integrada de Desenvolvimento da Grande Teresina,2013,2.3896911247803234,2.7194842138167554,0.20784654094666005
8,Região Integrada de Desenvolvimento da Grande Teresina,2014,2.530082823791037,2.8235204309063957,0.18386022316895131
9,Região Integrada de Desenvolvimento da Grande Teresina,2015,2.6851988950276686,3.235901287553626,0.2874093327123021
10,Região Integrada de Desenvolvimento da Grande Teresina,2016,3.0984590043923386,3.639665188470049,0.25032471802928113
11,Região Integrada de Desenvolvimento da Grande Teresina,2017,3.078305953278014,3.6212972651605098,0.25238759278919676
12,Região Integrada de Desenvolvimento da Grande Teresina,2018,3.366571678321674,4.375232896652105,0.4067307962889427
13,Região Integrada de Desenvolvimento da Grande Teresina,2019,3.4192673160173133,4.501984976525814,0.4280140694008007
14,Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2013,2.2230835152046184,2.9813856437081374,0.45803930956085204
15,Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2014,2.3991701602958444,3.1195802209361454,0.407564340722738
16,Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2015,2.6440296240029744,3.515985625118279,0.44422405542602333
17,Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2016,2.9542418394090686,3.7395529495380293,0.36400582000657944
18,Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2017,3.0072567299518407,3.8127539789587255,0.36657887104534914
19,Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2018,3.190646139913995,4.5386858277592115,0.5515132784993614
20,Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2019,3.0952955778056546,4.409073439412527,0.5536004154314608
21,Região Metropolitana da Capital,2013,2.6867954911433207,3.025039940828395,0.19449409114594632
22,Região Metropolitana da Capital,2014,2.762033333333328,3.1143846153845844,0.19632085657983778
23,Região Metropolitana da Capital,2015,2.9959289617486333,3.514964091403686,0.24862580557037803
24,Região Metropolitana da Capital,2016,3.6544936708860756,3.8786526315789467,0.13057144425644768
25,Região Metropolitana da Capital,2017,3.6722807017543913,3.759198717948725,0.09968986257801174
26,Região Metropolitana da Capital,2018,3.7712011173184323,4.261685800604235,0.1990462950824983
27,Região Metropolitana da Capital,2019,3.787823834196886,4.115451378809856,0.15392351918285396
28,Região Metropolitana da Grande São Luís,2013,2.339628686327066,2.7351635906040057,0.2436459321885683
29,Região Metropolitana da Grande São Luís,2014,2.5239899699097244,2.9381035856573345,0.23775812787480366
30,Região Metropolitana da Grande São Luís,2015,2.712370680628262,3.2445733924611746,0.2764548127455149
31,Região Metropolitana da Grande São Luís,2016,3.125604784688975,3.433913284920976,0.16593392646251146
32,Região Metropolitana da Grande São Luís,2017,3.2289225225225096,3.446552017937223,0.1360044769159866
33,Região Metropolitana da Grande São Luís,2018,3.4393062015503912,4.030740246748984,0.24709604466505494
34,Região Metropolitana da Grande São Luís,2019,3.549009032258064,4.267613804173392,0.2841806759150928
35,Região Metropolitana da Grande Vitória,2013,2.4804442771083894,2.864217060637293,0.22685372768224765
36,Região Metropolitana da Grande Vitória,2014,2.582680989937457,2.9847091175751523,0.22794583799349397
37,Região Metropolitana da Grande Vitória,2015,2.7756810067310242,3.3482403119667388,0.28888395180324206
38,Região Metropolitana da Grande Vitória,2016,3.1974522632179254,3.6539885714286227,0.21321006405559428
39,Região Metropolitana da Grande Vitória,2017,3.334760975609739,3.7093088552915736,0.1799997558074918
40,Região Metropolitana da Grande Vitória,2018,3.555878655608887,4.348297735532563,0.30958319393434236
41,Região Metropolitana da Grande Vitória,2019,3.5771180007515833,4.442984877646395,0.3338331170405239
42,Região Metropolitana de Aracaju,2013,2.4667218502738786,2.865143290831831,0.234764038454521
43,Região Metropolitana de Aracaju,2014,2.4882965517241478,2.91597780959196,0.24699359081936081
44,Região Metropolitana de Aracaju,2015,2.631263116057233,3.364903270702848,0.38048886967436213
45,Região Metropolitana de Aracaju,2016,3.132753709198818,3.6778507223114087,0.249523990939958
46,Região Metropolitana de Aracaju,2017,3.1512347417840294,3.7018644986449685,0.2504025897883444
47,Região Metropolitana de Aracaju,2018,3.517107818930025,4.440193205944789,0.3597265916633122
48,Região Metropolitana de Aracaju,2019,3.478680327868856,4.410607682619602,0.36663681137221654
49,Região Metropolitana de Belo Horizonte,2013,2.063970696681532,2.796538483630105,0.4746840894466006
50,Região Metropolitana de Belo Horizonte,2014,2.158409989713106,2.8940872899515426,0.45772200263203033
51,Região Metropolitana de Belo Horizonte,2015,2.272141248304009,3.2754282857905133,0.5716285636173812
52,Região Metropolitana de Belo Horizonte,2016,2.6674635221512277,3.6277790826501723,0.48072931698198673
53,Região Metropolitana de Belo Horizonte,2017,2.715289732024412,3.7286944072785464,0.4962641046210373
54,Região Metropolitana de Belo Horizonte,2018,3.0389728571428383,4.594496553363523,0.6392289628092634
55,Região Metropolitana de Belo Horizonte,2019,2.9861097279852835,4.5760593103448395,0.6570411531992497
56,Região Metropolitana de Belém,2013,2.4992640692640484,2.8524649468892647,0.21156492152512046
