Marca_Modelo,Quantidade
VW/GOL 1.6,54539.0
RENAULT/DUSTER 16 D 4X2,54474.0
JEEP/COMPASS LONGITUDE F,54315.0
FIAT/STRADA HD WK CC E,54287.0
RENAULT/SANDERO EXP 16,53784.0
CHEVROLET/CELTA 1.0L LS,53091.0
VW/PARATI CL,52752.0
RENAULT/LOGAN EXP 1016V,52648.0
JTA/SUZUKI INTRUDER 125,52465.0
I/GM CLASSIC LIFE,52308.0
FIAT/PALIO YOUNG,52287.0
HONDA/BIZ 125 EX,52236.0
JEEP/RENEGADE LNGTD AT,52216.0
VW/SANTANA,51738.0
CHEV/PRISMA 10MT JOYE,51345.0
DAFRA/SPEED 150,51205.0
HONDA/BIZ 110I,51006.0
CHEVROLET/ONIX 1.4MT LTZ,50723.0
HONDA/FIT EX CVT,50573.0
HONDA/FIT LX,50551.0
GM/CORSA SEDAN PREMIUM,49846.0
HONDA/XR 250 TORNADO,49754.0
GM/CELTA 2P SPIRIT,49620.0
FIAT/UNO ATTRACTIVE 1.0,49371.0
FIAT/STRADA ADVENTURE CD,48639.0
HONDA/CG 125 TODAY,48580.0
HONDA/LEAD 110,48376.0
GM/CORSA MILENIUM,47443.0
GM/CORSA CLASSIC,46826.0
RENAULT/SANDERO AUTH 10,46779.0
HONDA/NX-4 FALCON,46559.0
GM/ASTRA HB 4P ADVANTAGE,46475.0
GM/CELTA 3 PORTAS,46453.0
FIAT/STRADA WORKING CD,46421.0
HYUNDAI/HB20 1.0M UNIQUE,46236.0
GM/CARAVAN,46183.0
VW/CROSSFOX,45881.0
YAMAHA/YS150 FAZER SED,45839.0
GM/MERIVA JOY,45358.0
HONDA/CG 160 TITAN EX,45150.0
YAMAHA/YBR150 FACTOR ED,44999.0
HONDA/FIT LX CVT,44802.0
GM/MERIVA MAXX,44169.0
RENAULT/LOGAN EXP 16,43962.0
I/FIAT PALIO ATTRACT 1.0,43741.0
FIAT/PALIO EL,43212.0
VW/SAVEIRO CL,43132.0
HONDA/CITY LX FLEX,43058.0
VW/GOL GL,42910.0
GM/CLASSIC SPIRIT,42595.0
FIAT/UNO S,42428.0
GM/ASTRA GL,42407.0
FORD/ESCORT XR3,42360.0
VW/GOL S,42331.0
JTA/SUZUKI AN125,42276.0
HYUNDAI/HB20 1.6A COMF,41802.0
FORD/ECOSPORT FSL 1.6,41582.0
GM/PRISMA JOY,41560.0
VW/FUSCA 1600,41487.0
M.BENZ/L 1113,41435.0
HONDA/CG 125 TITAN KSE,41371.0
FORD/CORCEL II,41174.0
GM/MONZA SL/E 2.0,41149.0
JEEP/RENEGADE 1.8 AT,41148.0
HYUNDAI/CRETA 16A ATTITU,40704.0
VW/GOL CL 1.6 MI,40489.0
FORD/ECOSPORT XLT1.6FLEX,40262.0
YAMAHA/NMAX,40215.0
CHEVROLET/PRISMA 1.4L LT,40128.0
FIAT/PALIO WEEKEND STILE,39952.0
VW/NOVA SAVEIRO RB MBVS,39879.0
VW/VOYAGE CL,39669.0
I/RENAULT CLIO EXP1016VH,39522.0
FIAT/147,39498.0
CHEV/PRISMA 1.0MT LT,39476.0
CHEV/PRISMA 1.4MT LTZ,39402.0
VW/NOVO GOL TL MCV,39349.0
VW/VOYAGE 1.6L MB5,39305.0
TOYOTA/COROLLA XEI18VVT,39147.0
VW/VOYAGE,39077.0
HYUNDAI/HB20 1.0M 1.0 M,38357.0
FIAT/SIENA FIRE,37789.0
HYUNDAI/HB20S 1.6A COMF,37778.0
VW/SAVEIRO 1.6,37725.0
HONDA/CIVIC LXS,37632.0
TOYOTA/COROLLA GLI18 CVT,37488.0
HONDA/NXR150 BROS KS,37222.0
FIAT/PUNTO ELX 1.4,37024.0
YAMAHA/YBR 125ED,36906.0
R/PRESIDENTE TRA CARGA1,36889.0
HONDA/CG 125 CARGO KS,36792.0
CHEVROLET/ONIX 1.4AT LTZ,36764.0
JEEP/RENEGADE SPORT AT,36655.0
FIAT/UNO CS,36320.0
YAMAHA/XTZ250 TENERE,36171.0
I/FIAT SIENA FIRE FLEX,36161.0
YAMAHA/FZ25 FAZER,36141.0
FORD/FIESTA SEDAN FLEX,36093.0
HYUNDAI/HB20S 1.0M COMF,36081.0
VW/UP TAKE MA,35977.0
HONDA/CG150 START,35702.0
CHEVROLET/COBALT 1.4 LTZ,35568.0
FORD/CORCEL II L,35545.0
GM/OPALA COMODORO,35465.0
HONDA/NXR125 BROS ES,35304.0
VW/GOL 1.6L MB5,35251.0
CHEVROLET/COBALT 1.8 LTZ,35180.0
FORD/FIESTA GL,35136.0
FORD/ECOSPORT XLS1.6FLEX,34983.0
HONDA/NXR 160 BROS,34836.0
FIAT/PALIO ATTRACTIV 1.4,34792.0
FORD/CORCEL,34772.0
I/RENAULT CLIO CAM1016VH,34739.0
RENAULT/SANDERO AUT1016V,34591.0
FIAT/FIORINO HD WK E,34460.0
FIAT/TORO FREEDOM AT,34437.0
VW/CROSSFOX GII,34376.0
FIAT/IDEA ATTRACTIVE 1.4,34286.0
I/CHEVROLET AGILE LT,33958.0
GM/CORSA SEDAN MAXX,33879.0
VW/GOL I,33820.0
RENAULT/KWID INTENS 10MT,33768.0
FIAT/SIENA ELX FLEX,33740.0
HONDA/CB 250F TWISTER,33663.0
VW/SAVEIRO 1.6 CS,33620.0
CHEVROLET/CRUZE LT NB,33534.0
HONDA/CG 150 SPORT,33492.0
TOYOTA/ETIOS HB X,33309.0
GM/CORSA SEDAN,33217.0
YAMAHA/LANDER XTZ250,33154.0
FIAT/PALIO WEEK ELX FLEX,33075.0
FIAT/SIENA EL FLEX,32919.0
FORD/KA SE 1.0 SD C,32851.0
CHEV/SPIN 1.8L AT LTZ,32851.0
HONDA/CG 125I FAN,32559.0
CHEV/SPIN 1.8L MT LT,32456.0
VW/FOX 1.6 PRIME GII,32293.0
HYUNDAI/HB20S 1.6A PREM,31970.0
IMP/VW POLO CLAS. 1.8 MI,31934.0
VW/VOYAGE 1.6,31844.0
FIAT/FIORINO 1.4 FLEX,31766.0
RENAULT/DUSTER 20 D 4X2A,31757.0
VW/VARIANT,31737.0
R/FABRICACAO PROPRIA,31674.0
CHEV/PRISMA 1.4AT LTZ,31539.0
GM/CORSA HATCH JOY,31513.0
TOYOTA/COROLLA XEI18FLEX,31490.0
