Marca_Modelo,Quantidade
SR/DAMBROZ SRTC,628.0
I/FORD TRANSIT 330C TM,628.0
I/FIAT PALIO SPORTIN 1.6,627.0
I/BMW Z4SDRIVE20I LL31,627.0
VW/14.170 BT,626.0
YAMAHA/RX 80,626.0
R/TX FECHADA 01E,626.0
R/BOXCAR PL A,626.0
R/ZEZE RCA 1E,626.0
PIAGGIO/VESPA PX 200 S,625.0
I/DAYUN DY 150 9,625.0
VW/15.190 EOD E.S.ORE,625.0
IVECO/CITYCLASS 70C16,624.0
AGRALE/ELEFANT 16.5,624.0
HARLEY DAVIDSON/FLHX,623.0
R/ENCAR CARGA ABERTARCO1,623.0
REB/RONIMAR CETR,623.0
M.BENZ/ACTROS 4844K8X4,622.0
I/BMW 323I AM31,621.0
I/JAC T50 1.6 DVVT CVT,621.0
I/TOYOTA HILUX SW4 V6,621.0
I/CITROEN DS4 TURBO165A6,621.0
I/PEUGEOT 308 GRIFFETHPA,621.0
LR/DEFENDER 110 STANDARD,621.0
FIAT/SIENA 1.0,621.0
M.BENZ/2423 B,621.0
IVECO/EUROTECH 450E37TN1,621.0
VW/8.160 MIB METROPOLIS,621.0
REB/MUTIRAO E-X,620.0
HARLEY DAVIDSON/FLHX S,620.0
GM/BLAZER EXECUTIVE 4X4,619.0
R/FACCHINI RF CA,618.0
VW/QUANTUM SPORT,618.0
I/LR DISCOVERY3 TDV6 SE.,617.0
FIAT/BRAVO BLACKMOTION,617.0
FIAT/UNO SPORTING 1.3 E,617.0
FORD/CARGO 2626,617.0
VW/NOVA SAVEIRO TL MBVE,617.0
KASINSKI/MIDAS FX 110,617.0
JEEP/RENEGADE LIMITED D,616.0
REB/CAPILE RC3,616.0
I/JINBEI FABUSFORMA M35,616.0
REB/RIO PRETO,615.0
HARLEY DAVIDSON/FLST,615.0
DODGE/MAGNUM,614.0
M.BENZ/ATEGO 1726,614.0
REB/POLIMEC,613.0
REB/SCHIFFER SSC3E CA,613.0
R/RADIAL RCAM 751,613.0
I/RENAULT FLUENCE GT20,613.0
M.BENZ/ATRON 2729 6X4,613.0
R/AGUIAR AGUIA,611.0
AMV/PUMA 914,611.0
VW/24.250E WORKER 6X2,611.0
I/HONDA X-ADV,611.0
I/NISSAN KICKS RIO2016,611.0
KAWASAKI/VULCAN S,610.0
VW/GOLF COMFORTLINE AD,610.0
I/FYM FY150 3,609.0
VW/GOL TSI 2000,609.0
M.BENZ/LS 1924,608.0
I/VOLVO XC40 T4 INSCRIPT,608.0
MMC/ASX HPE AWD,608.0
I/M.BENZ 515CDISPRINTERF,608.0
WILLYS/AERO WILLYS,607.0
I/FORD TERRITORY TIT,607.0
MARCOPOLO/VOLARE V8L ESC,607.0
VOLVO/FH 500 6X4T,607.0
BRM/M11,607.0
M.BENZ/LK 1618,607.0
NISSAN/FRONTIER LE4X4ATT,606.0
SR/PASTRE SRBA 2E,606.0
REB/META METAL MMN 1E,605.0
REB/META METAL MMC 1E,605.0
M.BENZ/ATEGO 1315,604.0
IMP/ISUZU,603.0
GM/KADETT IPANEMA WAVE,603.0
Não Identificado,602.0
HONDA/CB 650R,601.0
FIAT/DOBLO RONTAN AMB2,601.0
CITROEN/PICASSO II20EXC,601.0
I/KIA G CARNIVAL EX 3.8,600.0
REB/SAFARI RUL,600.0
VW/VOYAGE 1.0 SELECAO,600.0
KAWASAKI/NINJA 650R,600.0
R/RANDON RQ CA,600.0
CITROEN/C3 PICASSO GL15,600.0
I/JIALING TRAXX JH125F,600.0
I/M.BENZ GLE400 CO,599.0
R/MUTIRAO CMB B1,599.0
IMP/HYUNDAI H100 GS,599.0
I/VOLVO XC60 T8 INSCRIPT,599.0
I/VOLVO XC60 3.0TDYNAMIC,599.0
I/SUZUKI SCROSS 2WD GLX,598.0
JTA-SUZUKI/INAZUMA,598.0
VOLVO/B10M 4X2,598.0
I/FORD RANGER XLSCD2 25C,597.0
IMP/SUZUKI GVITARA 1.6 V,597.0
VW/17.230 CRM 4X2,597.0
AGRALE/SXT,597.0
M.BENZ/ATEGO 1518,597.0
HYUNDAI/HB20 TCIM STY,596.0
I/FORD RANGER XLS CD4M32,596.0
R/MTREILHEE LAGOS AB,595.0
TOYOTA/ETIOS HB X STD MT,595.0
TRIUMPH/TIGER 800 XRX,594.0
I/RENAULT KANGOO SPW1616,593.0
BMW/F700 GS,593.0
RENAULT/LOGAN AUT 16,592.0
SCANIA/R113 H 4X2 320,592.0
R/KGT RE 350,592.0
R/PREMIUM FLASH,591.0
KAWASAKI/VERSYS ABS TR,591.0
JTZ/CHOPPER R,591.0
PEUGEOT/206 SW14 MOON FX,591.0
RENAULT/MASTER RONTANAMB,591.0
I/GM SILVERADO CONQ HD,590.0
VW/PARATI 1.8 COMFORTL,590.0
IMP/VW EUROVAN,590.0
MAFERSA/M210,589.0
CITROEN/AIRCROSS SHINE A,589.0
FIAT/ARGO HGT 1.8,588.0
I/LUOJIA LJ125-6,588.0
I/RENAULT KANGOO EXP1616,588.0
I/VOLVO V40 T4 DYNAMIC,587.0
I/TOYOTA RAV4H S AWD CNT,587.0
I/JEEP GCHEROKEE LTD 4.7,587.0
HARLEY DAVIDSON/XL 1200C,587.0
IVECO/DAILY 70C17HDCD,587.0
I/CHEV CRUZE PRE2 NB AT,587.0
VW/COMIL VERSATILE I,586.0
I/KAWASAKI NINJA 250R,586.0
LR/DEFENDER110 SW5L,586.0
KASINSKI/SETA 150,586.0
REB/ROMAR HOBBY RH JJS,585.0
GM/6000 CUSTOM,585.0
M.BENZ/L1622,585.0
VW/INDUSCAR FOZ U,584.0
SCANIA/K113 CL,584.0
JTA/SUZUKI SAVAGE LS650,584.0
I/VW SPACEFOX 1.6 GII,584.0
VW/SAVEIRO 1.8 SPORTLINE,584.0
SR/RODOFORTSA SRFG 3E,583.0
I/M.BENZ B 200,583.0
I/BMW X2 S18I ACTIVEFLEX,583.0
PIAGGIO/VESPA PX 200 ELT,583.0
FIAT/STRADA TREK CC 1.6,582.0
REB/SAFARI SSR RUL,582.0
IMP/HYUNDAI H100 SPREL,582.0
M.BENZ/L 2219,582.0
I/BASHAN TEXAS 150,581.0
I/SEAT IBIZA,580.0
IMP/PEUGEOT 405 GRI,580.0
BMW/330I,580.0
I/LONCIN LX110 3DI,579.0
DAFRA/CITYCOM 300I ABS,579.0
VW/FOX 1.6 SELECAO GII,579.0
I/FORD F1000 SC SS,579.0
I/PEUGEOT 3008GRIFFE THP,578.0
I/CHEV SONIC LTZ NB MT,578.0
GM/CHEVROLET C20,577.0
JTA/SUZUKI BOULEV M1500,577.0
KAWASAKI/VERSYS,577.0
I/BMW 220I CATACTIVEFLEX,577.0
M.BENZ/OF 1618,577.0
VW/GOLF 2.0 COMFORTLINE,576.0
M.BENZ/O 365,576.0
MMC/TRITON SPORT GLS,576.0
FORD/F1000 TURBO XLT,576.0
FIAT/ARGO PRECISION 1.8,576.0
GM/ASTRA HATCH 3P CD,575.0
FIAT/FNM D11000,574.0
IMP/FIAT DUNA 1.6 IE,574.0
FORD/KA 100 ANOS AT 1.5,574.0
M.BENZ/MPOLO AUDACE R,574.0
JTA/SUZUKI BANDIT N600,573.0
REB/HOT-CAR CP,573.0
DAELIM/ALTINO,573.0
CITROEN/JUMPER M33M 2.3,573.0
VW/SANTANA SPORT,573.0
JEEP/RENEGADE MOAB,572.0
LR/EVOQUE SE,571.0
VW/PARATI 2.0 TRACKFIELD,570.0
I/ROYAL ENFIELD INT 650,568.0
I/MINI COOPER SCA,568.0
IMP/TOYOTA PASEO,567.0
VW/KARMANN-GHIA TC,567.0
FIAT/STILO ABARTH,567.0
VW/GOLF 2.0 BLACK EDIT.,566.0
NISSAN/V-DRIVE 16SEDICVT,566.0
I/HUARI MARVA UFO50,566.0
M.BENZ/L 1118,566.0
M.BENZ/INDUSCAR FOZ U,565.0
I/LUOJIA LJ110 10,565.0
I/JAG FPACE 20TD PRESTIG,565.0
PEUGEOT/208 SPORT MT,565.0
YAMAHA/XT1200Z STENERE D,565.0
REB/HANN,564.0
R/GAUCHO RG3,564.0
IMP/HONDA CIVIC VTI,564.0
PEUGEOT/2008 GRIFFE THP,564.0
REB/TRANSGRANJA,563.0
DODGE/D400,563.0
FORD/CARGO 1419 S,563.0
REB/PAPEETE CARBOQUE CC,563.0
DAFRA/APACHE 200,562.0
VW/POLO SENSE AD,562.0
IMP/AUDI A3 1.8,562.0
VW/NOVA SAVEIRO PP MBVE,562.0
VW/PASSAT FLASH,562.0
TRIUMPH/TIGER 1200 XCA,562.0
M.BENZ/AXOR 2036 S,561.0
I/KIA SPORTAGE LX2 OFFG3,561.0
SRM/REBOQUE FACIL SRCF,561.0
KAWASAKI/Z1000,561.0
IMP/FORD F4000,560.0
AVA/KYMCO MANBOY 90,560.0
M.BENZ/ACCELO 1316,560.0
VOLKS/BUSSCAR URBPLUSS U,560.0
REB/AMPLICAR AMP-CG,559.0
I/M.BENZ 415SPRINTE VIPK,559.0
I/M.BENZ C180TURBOCOUPE,557.0
I/CHRYSLER GCARAVAN LTD,557.0
LR/EVOQUE P240 HSE DYN,557.0
I/AIMA VOLTZ EV01,557.0
I/SSANGYONG ACTYON 4X4,557.0
MARCOPOLO/VOLARE V8 MO,557.0
IMP/MMC COLT GLXI,556.0
SR/LIBRELATO SRCD 2E,555.0
HYUNDAI/HB20S TCIM STY,555.0
FIAT/DUCATO MULT JAEDI T,555.0
M.BENZ/915E BLINFORT,555.0
PEUGEOT/2008 GRIFFE,555.0
REB/LINSHALM SRF3ECL,554.0
REB/FACCHINI-IR RER GR,554.0
FORD/DEL REY 1.8 GHIA,554.0
FORD/KA SEL 1.0 SD B,554.0
R/RONE RCA 2E,553.0
I/VOLVO S60 2.0 T5 DYNA,553.0
I/LR DISC SPT SI4 SE,553.0
M.BENZ/AXOR 2040 S,552.0
I/PEUGEOT 408 GRIFFETHPA,552.0
FORD/CARGO 1717,552.0
M.BENZ/L 1517,552.0
SOUSA/AS 150 STREET,551.0
IMP/PEUGEOT 306 SEL S 18,551.0
VW/PARATI 1.6 TITAN,551.0
I/AUDI Q7 3.0TFSI,550.0
MPLM/JAVALI,550.0
IVECO/STRALISHD 570S42TN,550.0
FORD/RENAULT GORDINI,549.0
I/DODGE JOURNEY SE 2.7,549.0
IMP/MMC GALANT S.SALOON,549.0
VW/23.250 E,548.0
IMP/ALFA ROMEO 145 QV,548.0
I/KIA CERATO FF SX2.0 AT,548.0
I/FORD RANGER XL 10A,548.0
BRM,547.0
I/JINBEI SHINERAY DTRUCK,547.0
IMP/KIA SEPHIA LS,547.0
AGRALE/NEOBUS THUNDER,546.0
REB/CASA DE RODA CRCG,546.0
I/BMW 535I FR71,546.0
GM/CHEVROLET C15,546.0
GM/VERANEIO CUSTOM DELUXE,546.0
I/FORD RANGER LTD 12A,545.0
FIAT/ELBA TOP,545.0
M.BENZ/1420,545.0
HARLEY DAVIDSON/FLHTCU,545.0
I/LR EVOQUE P250FF SE RD,545.0
TOYOTA/COROLLA S18VVT,544.0
I/MMC PAJERO SPORT GLS,543.0
VW/EMIS,542.0
JTA-SUZUKI GSX-S750 AZ,542.0
I/SHINERAY MVK XY110 2,542.0
I/M.BENZ 314CDISTREET F,542.0
NISSAN/FRONTIER LEATT4X4,540.0
REB/ENGERAUTO TRANSCAR T,539.0
REB/NOMAD,539.0
H.DAVIDSON/XL1200NS,539.0
IMP/KIA SEPHIA GTX,539.0
I/AUDI Q3 2.0TFSI AMB,539.0
M.BENZ/OF 1314,539.0
VW/MENON BUGGY,538.0
RENAULT/MEGANEGT EXPR 16,538.0
I/NISSAN SENTRA SL,538.0
DAFRA/NEXT 300,538.0
SCANIA/R 420 A4X2,537.0
FORD/CARGO 2428 CN,537.0
I/LR FREELANDER2 SD4 HSE,537.0
VW/VIRTUS GTS AE,536.0
TRIUMPH/TIGER XR,536.0
HONDA/WR-V LX CVT,536.0
REB/TOBA,536.0
I/MMC PAJERO GLS 3.8 G,536.0
I/RENAULT SANDERO ZEN16M,535.0
I/FORD FUSION HYBRID B,535.0
I/BMW 316I,535.0
VW/MASCA GRANMICRO O,535.0
BMW/X4 XDRIVE28I,534.0
FORD/FIESTA STREET 1.6,534.0
I/SHINERAY MVK XY150 2,533.0
VOLVO,533.0
I/RENAULT LAGUNA V6,533.0
I/FORD MONDEO 2.0 GHIA 4,532.0
GM/MONZA SL/E 1.6,532.0
SR/RODOFORTSA SRTT 2E,532.0
I/LEXUS CT200H,532.0
FORD/KA SEL AT 1.5 SD C,532.0
I/LR R.ROVER SPORT3.0 SE,531.0
IVECO/VERTIS 90V16,530.0
PEUGEOT/BOXER M350LH 2.3,530.0
I/FIAT 500 SPORT,530.0
R/TITAN I C ABERTA,530.0
I/FORD EXPLORER XLT 4X4,530.0
IVECOFIAT/DAILY4912 VAN1,530.0
JTZ/LINDY R,529.0
REB/CIBRAS,529.0
I/JAG EPACE P250F S RDY,529.0
I/PEUGEOT 307 SW 20 M,528.0
SR/LIBRELATO SRCT 2E,527.0
I/PEUGEOT BOXER 320M 28,527.0
SCANIA/P 340 A6X2,527.0
SR/RODOCEG CTV 2E,527.0
IMP/KIA BESTA 3V RS,527.0
I/YINXIANG IROS MOVING,526.0
I/LR EVOQUE P300 HSE RDY,526.0
PEUGEOT/206 TECNO 10,526.0
REB/BUENO TR CARGA MOR 1,525.0
REB/TRUCK GALEGO SR,525.0
I/MMC GRANDIS,525.0
SR/BUENO MOTO CARGAJBB,525.0
I/KIA SORENTO EX 3.8L V6,524.0
VW/TOY,524.0
VW/17.230 WORKER 4X2,524.0
YAMAHA/YS150 FAZER PRO,524.0
AGRALE/MPOLO SENIOR ON,523.0
R/DUARTE CAR FECHADA,523.0
IMP/SUZUKI SWIFT GTI,523.0
VOLVO/FH 460 4X2T,523.0
TOYOTA/FIELDER SEG18FLEX,523.0
HYUNDAI/HB20X 16A VISION,523.0
IVECO/DAILY 35S14HDGFURG,522.0
DAFRA/KANSAS 250 SPECIAL,522.0
SR/NOMA SR3E27 BL,522.0
MBENZ/BUSSCAR VIS BUSS R,521.0
IVECOFIAT/DAILY3510 C.C,520.0
FIAT/DOBLO 1.4,520.0
VW/9.160 MIB G9 SAFE-ONE,520.0
R/MARRECO CMB MN500,519.0
IMP/GM TRAFIC TA1C,519.0
REB/MASSARI,519.0
JTA/SUZUKI B-KING,518.0
I/BMW 120I UF51,518.0
I/VW NOVO SPACECROSS MA,518.0
IMP/BMW 528I DD61,517.0
VW/MASCA ROMA,517.0
VOLVO/NL10 310 4X2,517.0
PEUGEOT/2008 GRIFFE THPM,516.0
I/LEXUS NX200T F SPORT,516.0
FORD/F14000 160,516.0
VW/SANTANA GLS EVIDENCE,516.0
M.BENZ/O 364 13R,516.0
REB/VETTOR CA-4.120,515.0
VW/6.80,515.0
I/FORD FUSION HYBRID,515.0
FIAT/IDEA SPORTING 1.8,515.0
RENAULT/MEGANESD EXPR 20,515.0
HARLEY DAVIDSON/XR 1200X,515.0
VW/T CROSS TSI MD,515.0
I/BMW X3 XDRIVE20I,514.0
IMP/GM SILVERADO CONQ,514.0
IMP/GMC 15.190,514.0
I/HAFEI TOWNER PICKUP UF,514.0
I/M.BENZ CLA250 4M,514.0
TOYOTA/ETIOS SD XLS15 MT,513.0
VW/MIURA,513.0
I/VOLVO S60 T4 MOMENTUM,513.0
IVECO/ECTECTOR 230E24N,513.0
VW/UP RUN SCV,512.0
I/JIALING JH 125L,512.0
VW/GOLF SPORT,512.0
KAWASAKI/NINJA 650R ABS,512.0
I/PEUGEOT 3008 ALLURE AT,511.0
R/JOPASON HW2,511.0
CITROEN/JUMP GREENCAR ES,511.0
NISSAN/FRONTIER SEATT4X2,511.0
I/MERCEDES SLK230KK47W,510.0
JTA-SUZUKI/VSTROM1000 A,510.0
I/BMW 540I DE61,509.0
I/PEUGEOT 308 FELINE THP,509.0
VW/13.180 DRC 6X2,509.0
TOYOTA/YARIS HM XL13LIVE,508.0
I/FORD FOCUS SE AT 2.0SB,508.0
HARLEY DAVIDSON/XL1200CX,507.0
GM/MERIVA COLLECTION,507.0
I/YAMAHA XT1200Z STENERE,507.0
SR/TANESFIL TQ3E,507.0
SR/RANDON SR FG LO 3E,507.0
IMP/FIAT DUCATO MINIBUS,506.0
JTA/SUZUKI DR800S,506.0
IMP/SUBARU VIVIO GLI,506.0
R/TEXAS T500,505.0
I/RENAULT CLIO AUT1016VS,505.0
IMP/CITROEN ZX SX PARIS,505.0
KAWASAKI/NINJA ZX-10R,505.0
I/VW TOUAREG V6,504.0
IMP/TOYOTA HILUX 4X2 CD,504.0
FIBRAV/MAGNATA,504.0
REB/VOLPATO CB,504.0
M.BENZ/O 400 RSE PL,504.0
VW/KOMBI LAST EDITION,504.0
FORD/ECOSPORT FSL2.0FLEX,503.0
SUZUKI/JIMNY 4 SUN,503.0
VW/GOL SPECIAL 1.6,503.0
I/MERCEDES C230K HA24W,503.0
VW/13.180 E,503.0
FORD/CARGO 2428 CNL,502.0
I/FORD FUSION TIT HYBRID,501.0
JTA/SUZUKI RF900R,501.0
VW/SANTANA 2000I,501.0
REB/TRIVELLATO,501.0
RENAULT/CLIO SI 1.6 16V,501.0
GM/BLAZER COLINA 4X4,500.0
VW/SANTANA EVIDENCE 2.0,500.0
VOLVO/N12,500.0
VW/JETTA CL AA,500.0
I/NISSAN D21 DC 4X4,500.0
HARLEY DAVIDSON/FLHP,499.0
FIAT/80,499.0
REB/RIO PRETO CRP G,499.0
HONDA/CB 450 S,499.0
VW/17.190 CRM 4X2 ROB,499.0
I/MMC OUTLANDER 3.0 HPES,498.0
I/TOYOTA HILUX 2CDL DX,498.0
I/SHINERAY MVK XY150 1,498.0
VW/15.190 EOD ESCOLAR HD,498.0
RENAULT/M NIKS AMBULANCI,498.0
I/VW PASSAT CC 3.6 FSI,498.0
I/M.BENZ ACTROS4844K8X4,497.0
IVECO/DAILY 35S14HDCD,497.0
GM/CHEVROLET 14000 CUSTOM,497.0
VW/UP BLACK WHITE RED SA,497.0
M.BENZ/ACCELO 1316 CE,497.0
R/NOMA DOLLIE 2E,496.0
I/KIA CERATO KOUP SX3,496.0
I/VW TOUAREG V8,496.0
R/LIDER CLA 1502,495.0
DODGE/400,495.0
VW/PASSAT SPORT,495.0
I/MMC AIRTREK,495.0
I/VW AMAROK PAT. SE II,494.0
I/FIAT DUCATO CHASSI L,494.0
I/JINBEI TOPIC SL,494.0
GM/CHEVROLET A10 CUSTOM,493.0
I/SINOTRUK HOWO 6X4 380,493.0
IMP/KIA SHUMA LS,493.0
I/AUDI TT COUPE 230CV I,492.0
CHEV/ONIX 10TAT RS,492.0
VW/MPOLO SENIOR GVO,492.0
M.BENZ/LS 1525,491.0
I/M.BENZ 416CDISPRINTERF,491.0
I/TOYOTA RAV4H SXAWD CNT,491.0
DODGE/DAKOTA RT C,491.0
VW/26.260,491.0
IMP/MAZDA B2200 PB,491.0
R/TEXAS R400,490.0
FIAT/FNM,489.0
I/CITROEN JUMPY EUROLAF,489.0
M.BENZ/AXOR 2041 S,489.0
R/MUTIRAO CMP P1,489.0
I/HONDA GL1800 GOLD WING,489.0
I/SINOTRUK HOWO 6X2 380,489.0
VW/15.190,488.0
IMP/HYUNDAI ACCENT LR,488.0
MMC/L200 TRITON OUTDOORA,487.0
I/MINI CYMAN COOPER,487.0
VW/PASSAT POINTER 1.8,487.0
I/PEUGEOT 206 14 PRESENC,486.0
VW/31.260 CNM 6X4,486.0
I/CHEV TRACKER FREERIDE,486.0
SCANIA/P 420 B8X4,486.0
I/JAC T8,486.0
R/KGT RE 280,485.0
FORD/F1000 SR,485.0
IMP/HONDA CIVIC LSI,485.0
H.DAVIDSON/FLT RU,485.0
IMP/M.BENZ OF 1318,485.0
REB/SEMA RC-500,484.0
IMP/GM SILVERADO DLX 4.1,484.0
IMP/PORSCHE,484.0
KAWASAKI/Z750 ABS,483.0
R/DISNAUTICA TRAN CARG 1,483.0
I/GM CAPTIVA SPORT V6FWD,483.0
SCANIA/MPOLO VIAGGIO R,483.0
AGRALE/1800,482.0
R/PERNALONGA CG,482.0
I/HAFEI START PICK UP L,482.0
I/CITROEN C4L LIVE BSNS,482.0
IMP/JAWA,482.0
IMP/CADILLAC,481.0
FIAT/DUCATO NIKS MIC 20,481.0
IMP/HP GALLOPER T.CXLLWB,481.0
I/BMW X5 FB31,480.0
IMP/KIA BESTA AB,480.0
FORD/CARGO 2422 CN,480.0
I/FORD RANGER XLS 12F,480.0
VW/8.100,480.0
I/PORSCHE BOXSTER S,480.0
I/MBENZ 313SF RONTAN AMB,480.0
VW/GOL RALLYE MA,480.0
I/CITROEN C4L FEEL AUT,480.0
MP LAFER,480.0
CITROEN/C3 PIC TENDAN A,480.0
VW/SAVEIRO FUN,479.0
I/RENAULT CLIO PRI1016VS,479.0
I/LONCIN ITALIKA FT125,479.0
I/BMW X2 S20I ACTIVEFLEX,479.0
FORD/CARGO 1519 S,478.0
I/KIA CERATO FF EX2.0 AT,478.0
I/MINI HATCH JCW 3P,478.0
MMC/LANCER 2.0 MT,478.0
VW/PARATI C,478.0
I/CHRYSLER 300C V6,478.0
REB/TUPY RA 84,478.0
HONDA/CG160START FUSCO C,478.0
CALOI/SUZUKI AH 50,478.0
VW/30.330 CRC 8X2,477.0
GM/BLAZER COLINA,477.0
R/BUENO 2EIXOS CARGARC05,477.0
M.BENZ/LK 1313,477.0
I/PEUGEOT 307 SDFELINE A,477.0
IMP/SUZUKI VITARA JLX16V,477.0
VW/GOL 1.6 GIV,477.0
SR/RODOTECNICA TQ AP 3E,476.0
IMP/BMW 323I CP81,476.0
REB/KRONE CA123 CG27,476.0
VW/GOL GL 1.6 MI,476.0
I/TOYOTA HILUX 4CSL DX,476.0
I/JEEP WRANGLER ULT 3.6L,475.0
I/DAYUN DY 110 6,475.0
VW/NOVO VOYAGE CL SBV,475.0
GM/CHEVROLET C1504,475.0
I/FOTON 1039 3110B I26DS,474.0
R/CASA DE RODA CR D,474.0
HYOSUNG/GF 125 SPEED,474.0
IMP/RENAULT 21NEVADA GTX,474.0
FIAT/DUCA ESCOLAR FFBM26,474.0
IMP/MERCEDES C280 HA29W,473.0
VW/GOL GTI 16V 2000,473.0
I/CITROEN XSARA BK GLX20,473.0
I/M.BENZ413CDI SPRINTERC,473.0
VW/19.370 CLM T 4X2,473.0
IMP/FIAT PREMIO CSL IE,473.0
CHEVROLET/S10 LTZ DD2,472.0
RENAULT/MAST MARTICAR 19,472.0
I/CITROEN C4 PALLAS20EPF,472.0
I/BASHAN JONNY HYPE 110,472.0
FIAT/DOBLO AMBULANCIA,472.0
I/ZHONGNENG AUGURI SS50,472.0
FIAT/70,472.0
I/NISSAN VERSA ADVNC CVT,472.0
FIAT/UNO CS TOP,471.0
LR/DISC SPT TD4 SE,471.0
R/GUEDES FAZENDA TEXAS1,471.0
IMP/CHEVROLET TRAFIC,471.0
VW/26.310,471.0
SR/METALESP SILOCAR BT22,471.0
FIAT/MOBI TREKKING 1.0MT,471.0
SR/TANESFIL TQ 03ED,470.0
I/FORD FOCUS S AT 2.0 SB,470.0
M.BENZ/ATEGO 2428,470.0
REB/REBOX RBX-BL,470.0
I/M.BENZ 300 E,469.0
GM/D20 CHAMP,469.0
VW/UP HIGH MB,469.0
I/VW PASSAT VARIANT V6,469.0
M.BENZ/AXOR 2036 LS,469.0
GM/A20 CUSTOM S,468.0
VOLVO/MPOLO TORINO U,468.0
M.A./HYSTER,468.0
I/BMW Z4 SDRIVE2.3I LM31,468.0
FORD/F350 CD,468.0
VW/POLO 2.0 GT,468.0
DAFRA/ROADWIN 250R,468.0
YAMAHA/FZ6 FAZER S HG,468.0
I/FORD RANGER LTDCD2 25C,468.0
TRIUMPH/TIGER SPORT,467.0
MMC/PAJERO 4X4 FLEX,467.0
M.BENZ/712 E SBB CF,467.0
REB/REAL SOLAR,467.0
I/FORD FUSION V6 FWD,467.0
M.BENZ/L 1314,467.0
I/M.BENZ GLE350D,467.0
FIAT/DUCA15 FFORMA MIC20,467.0
I/JIALING TRAXX JL125-9,466.0
GM/ASTRA ADVANTAGE,466.0
FIAT/DUCATO NIKS MULT 16,465.0
I/RENAULT CLIO RL 1.0,465.0
HONDA/CG 160 TITAN C,465.0
R/ES CA 1 EIXO,465.0
I/CHEV SONIC 16MH LTZ EF,465.0
IMP/FIAT,465.0
I/BMW F800 GS,465.0
VW/NOVO FOX RUN MBP,464.0
AGRALE/MASCA GRMICRO E O,464.0
SR/METALESP SILOCAR BD22,464.0
SR/FLEXMOTO FZD GMA,463.0
R/DELREY FECHADA 1E RDR,463.0
I/LR DISCOVERY SERIES II,463.0
RENAULT/LOGAN INT16CVT,462.0
M.BENZ/L 2014,462.0
I/BMW X3 XDRIVE 35I WX71,462.0
VW/POLO 1.6 NEXT,462.0
VW/COBRA,462.0
DODGE/DART COUPE LUXO,461.0
I/LR R.ROVER SPORT TDV6,461.0
IMP/KIA CARNIVAL GS,461.0
DODGE/CHARGER,461.0
IMP/LAMBRETTA,461.0
VW/NOVO FOX BM MC,460.0
I/CHARMING BULL MAXX KRC,460.0
JTA-SUZUKI/GSR750A,460.0
SCANIA/G 440 B8X4 CS,460.0
M.BENZ/LO 608 D,460.0
I/LONCIN ITALIKA ST50,460.0
REB/GRAHL,460.0
HARLEY DAVIDSON/XL1200CB,459.0
KASINSKI/RX 125,459.0
I/HONDA XL1000V VARADERO,458.0
I/PEUGEOT 307SW 20SA FEL,458.0
JEEP/RENEGADE S CUSTOM D,458.0
FIAT/FNM 210,458.0
I/PEUGEOT 306 S16,458.0
IMP/KAWASAKI ZX900,458.0
I/RENAULT TRAFIC FLC,457.0
IVECO/STRALIS 490S41T,457.0
M.BENZ/ATEGO 1729,457.0
M.BENZ/O 371 RSD,457.0
TRIUMPH/TIGER 800 XRT,457.0
IVECO/STRALIS 600S40T,457.0
I/BMW 328I ACTIVE FLEX,457.0
JTA/SUZUKI BANDIT 1200S,457.0
VW/24.260 CRM 6X2 4P,457.0
I/RENAULT KGOO RONTANAMB,457.0
RENAULT/MASTER EUR STDL3,456.0
I/MMC PAJERO IO SE,456.0
GM/C20 CUSTOM DE LUXE,456.0
R/CICLOMAR CA500,456.0
IVECO/DAILYCAMPO3513 CC,455.0
FORD/CARGO 6332 E,455.0
I/M.BENZ E250BLUEEF,455.0
VW/14.220,455.0
VW/VOYAGE LOS ANGELES,455.0
M.BENZ/OF 1115,455.0
FORD/KA FSL 5 HA C,454.0
I/RENAULT KANGOO RL 1.6,454.0
BRANDY/PISTA 70,454.0
GMC/14.190,454.0
RENAULT/MASTER NIKS MO20,453.0
JEEP/COMPASS NIGHT EGL D,453.0
GM/OMEGA SUPREMA GL,452.0
TRIUMPH/TIGER 1200 XCX,452.0
GM/CHEVROLET C65,452.0
VW/7.90,452.0
JEEP/RENEGADE LGT T AT,451.0
NISSAN/GRAND LIVINA 18,451.0
I/GEELY EC-7 1.8 GS,451.0
SR/RANDON SR FG CG 3E,451.0
IMP/SUZUKI SWIFT SD,450.0
DKW,450.0
I/VOLVO XC90 T8 INSCRIPT,450.0
VW/MPOLO VIALE U,450.0
IMP/FORD RANGER XLT 11D,450.0
I/TOYOTA HILUX CS4X2,450.0
FIAT/MOBI DRIVE DL,450.0
I/VOLVO C30 T5,449.0
JTA/SUZUKI VS1400GLP,449.0
CITROEN/PICASSO II16EXCS,449.0
REB/REBOX RBX-MJ,448.0
GM/S10 2.4 RONTAN AMB,448.0
NISSAN/FRONTIER SEATT4X4,448.0
YAMAHA/FZ25 FAZER LE,448.0
KAWASAKI/NINJA ZX-10RABS,448.0
IMP/DAIHATSU CHARADE 1.5,448.0
IMP/CITROEN XANTIA 16V,448.0
JTA/SUZUKI VS800GL,448.0
R/TEXAS T500 M,448.0
HAOBAO/HB50Q,447.0
