RM,VKT,Ano
Campo Grande,5774721658.22353,2015
RIDE-Teresina,4958675788.067918,2015
RIDE-DF,23711697981.03046,2015
RM Boa Vista,1816017900.6664968,2015
RM São Luís,5671409886.981384,2015
RM Vitória,7702640277.040276,2015
RM Aracaju,3448808410.21953,2015
RMBH,24692871300.518436,2015
RM Belém,7473616918.710248,2015
RM Curitiba,21665196941.885838,2015
RM Florianópolis,7285891361.093875,2015
RM Fortaleza,13056523006.059183,2015
RM Goiânia,15514087139.724125,2015
RM João Pessoa,4947463916.421114,2015
RM Macapá,2472313646.999408,2015
RM Maceió,3944619566.152288,2015
RM Manaus,9087818581.91114,2015
RM Natal,5845585438.413433,2015
RM Palmas,3207833526.393604,2015
RM Porto Alegre,21340603957.93801,2015
RM Porto Velho,3129598071.531058,2015
RM Recife,11802598332.463375,2015
RM Salvador,11068826861.646408,2015
RMSP,89316783928.34544,2015
RMRJ,34188363891.680054,2015
RM Cuiabá,6604185260.00725,2015
Rio Branco,1557643426.6140022,2015
Campo Grande,5763534042.757276,2016
RIDE-Teresina,5022227856.88436,2016
RIDE-DF,23819488283.174454,2016
RM Boa Vista,1904757651.882287,2016
RM São Luís,5623343767.06285,2016
RM Vitória,7609036059.592751,2016
RM Aracaju,3338962042.1768527,2016
RMBH,25070238096.942444,2016
RM Belém,7437324324.56521,2016
RM Curitiba,21842051694.438297,2016
RM Florianópolis,7510093750.409379,2016
RM Fortaleza,13166461722.295872,2016
RM Goiânia,15321378115.391,2016
RM João Pessoa,5060160570.390163,2016
RM Macapá,2029395221.622517,2016
RM Maceió,3967753917.110696,2016
RM Manaus,9011626112.821297,2016
RM Natal,5669342726.084397,2016
RM Palmas,3257233918.7632947,2016
RM Porto Alegre,20884917061.146584,2016
RM Porto Velho,3208854964.589257,2016
RM Recife,11476676537.245806,2016
RM Salvador,11112229963.00573,2016
RMSP,88626502186.1353,2016
RMRJ,32154606283.5142,2016
RM Cuiabá,6476584037.082814,2016
Rio Branco,1514688197.53858,2016
Campo Grande,5753990312.886176,2017
RIDE-Teresina,5112340203.941971,2017
RIDE-DF,24974693217.761803,2017
RM Boa Vista,2154612373.5719943,2017
RM São Luís,5864780358.569586,2017
RM Vitória,7550935148.526024,2017
RM Aracaju,3247912017.403036,2017
RMBH,25728097374.9196,2017
RM Belém,7504688671.97666,2017
RM Curitiba,22854570826.1308,2017
RM Florianópolis,7411034752.15883,2017
RM Fortaleza,13086612679.544294,2017
RM Goiânia,15575692874.460066,2017
RM João Pessoa,5020571776.931657,2017
RM Macapá,2046629310.2761743,2017
RM Maceió,3924735357.9721694,2017
RM Manaus,8984804984.133291,2017
RM Natal,5677582435.936479,2017
RM Palmas,3341314047.417409,2017
RM Porto Alegre,21696937626.588757,2017
RM Porto Velho,3343859384.944209,2017
RM Recife,11862336035.874456,2017
RM Salvador,11159370981.054695,2017
RMSP,89505132858.00064,2017
RMRJ,29635425294.785168,2017
RM Cuiabá,6782931498.292519,2017
Rio Branco,1505195077.009475,2017
Campo Grande,5792027692.357677,2018
RIDE-Teresina,4977324160.253503,2018
RIDE-DF,23722511267.894093,2018
RM Boa Vista,2149274622.8029075,2018
RM São Luís,5937672981.588608,2018
RM Vitória,7573111498.87911,2018
RM Aracaju,3192381233.6098075,2018
RMBH,24842831499.68051,2018
RM Belém,7660737567.59532,2018
RM Curitiba,22860155010.062138,2018
RM Florianópolis,7406802773.733964,2018
RM Fortaleza,13169141429.631767,2018
RM Goiânia,15703110415.205502,2018
RM João Pessoa,5071852039.124861,2018
RM Macapá,2078648149.806889,2018
RM Maceió,3861829900.215145,2018
RM Manaus,9241174186.38326,2018
RM Natal,5509786520.688502,2018
RM Palmas,3414464320.358181,2018
RM Porto Alegre,20927367114.11658,2018
RM Porto Velho,3367886987.49393,2018
RM Recife,11565352837.766811,2018
RM Salvador,10635009468.207932,2018
RMSP,89739759190.0223,2018
RMRJ,26265091210.560738,2018
RM Cuiabá,7874624883.477191,2018
Rio Branco,1491303095.7953155,2018
Campo Grande,6029129481.43495,2019
RIDE-Teresina,5188287404.672522,2019
RIDE-DF,24469306845.83561,2019
RM Boa Vista,2564873238.8339705,2019
RM São Luís,5865663797.15864,2019
RM Vitória,7788029209.409482,2019
RM Aracaju,3317535682.973022,2019
RMBH,26034577691.151066,2019
RM Belém,7993943620.014502,2019
RM Curitiba,23434765130.25794,2019
RM Florianópolis,7762637115.69821,2019
RM Fortaleza,13753568494.058949,2019
RM Goiânia,16325881646.559986,2019
RM João Pessoa,5179265077.715862,2019
RM Macapá,2286800787.747639,2019
RM Maceió,4122397807.3351526,2019
RM Manaus,9874112892.221643,2019
RM Natal,5540528779.60397,2019
RM Palmas,3580992353.775589,2019
RM Porto Alegre,21496285408.379414,2019
RM Porto Velho,3445342412.8269606,2019
RM Recife,11743108011.10954,2019
RM Salvador,11101640230.173325,2019
RMSP,94147764652.47868,2019
RMRJ,26818517825.342068,2019
RM Cuiabá,8140485184.653684,2019
Rio Branco,1536009138.4929347,2019
