Marca_Cod,Marca,Modelo_Cod,Modelo,Ano,Modelo_A,Modelo_B
27,Mitsubishi,707,L200,2022,L200,
27,Mitsubishi,707,L200,2021,L200,
27,Mitsubishi,707,L200,2020,L200,
27,Mitsubishi,707,L200,2019,L200,
27,Mitsubishi,707,L200,2018,L200,
27,Mitsubishi,707,L200,2017,L200,
27,Mitsubishi,707,L200,2016,L200,
27,Mitsubishi,707,L200,2015,L200,
27,Mitsubishi,707,L200,2014,L200,
27,Mitsubishi,707,L200,2013,L200,
27,Mitsubishi,707,L200,2012,L200,
27,Mitsubishi,707,L200,2011,L200,
27,Mitsubishi,707,L200,2010,L200,
27,Mitsubishi,707,L200,2009,L200,
27,Mitsubishi,707,L200,2008,L200,
27,Mitsubishi,1109,L200 OUTDOOR,2022,L200,OUTDOOR
27,Mitsubishi,1109,L200 OUTDOOR,2021,L200,OUTDOOR
27,Mitsubishi,1109,L200 OUTDOOR,2020,L200,OUTDOOR
27,Mitsubishi,1109,L200 OUTDOOR,2019,L200,OUTDOOR
27,Mitsubishi,1109,L200 OUTDOOR,2018,L200,OUTDOOR
27,Mitsubishi,1109,L200 OUTDOOR,2017,L200,OUTDOOR
27,Mitsubishi,1109,L200 OUTDOOR,2016,L200,OUTDOOR
27,Mitsubishi,1109,L200 OUTDOOR,2015,L200,OUTDOOR
27,Mitsubishi,1109,L200 OUTDOOR,2014,L200,OUTDOOR
27,Mitsubishi,1109,L200 OUTDOOR,2013,L200,OUTDOOR
27,Mitsubishi,1109,L200 OUTDOOR,2012,L200,OUTDOOR
27,Mitsubishi,1109,L200 OUTDOOR,2011,L200,OUTDOOR
27,Mitsubishi,1109,L200 OUTDOOR,2010,L200,OUTDOOR
27,Mitsubishi,1109,L200 OUTDOOR,2009,L200,OUTDOOR
27,Mitsubishi,1109,L200 OUTDOOR,2008,L200,OUTDOOR
27,Mitsubishi,1110,L200 TRITON,2022,L200,TRITON
27,Mitsubishi,1110,L200 TRITON,2021,L200,TRITON
27,Mitsubishi,1110,L200 TRITON,2020,L200,TRITON
27,Mitsubishi,1110,L200 TRITON,2019,L200,TRITON
27,Mitsubishi,1110,L200 TRITON,2018,L200,TRITON
27,Mitsubishi,1110,L200 TRITON,2017,L200,TRITON
27,Mitsubishi,1110,L200 TRITON,2016,L200,TRITON
27,Mitsubishi,1110,L200 TRITON,2015,L200,TRITON
27,Mitsubishi,1110,L200 TRITON,2014,L200,TRITON
27,Mitsubishi,1110,L200 TRITON,2013,L200,TRITON
27,Mitsubishi,1110,L200 TRITON,2012,L200,TRITON
27,Mitsubishi,1110,L200 TRITON,2011,L200,TRITON
27,Mitsubishi,1110,L200 TRITON,2010,L200,TRITON
27,Mitsubishi,1110,L200 TRITON,2009,L200,TRITON
27,Mitsubishi,1110,L200 TRITON,2008,L200,TRITON
27,Mitsubishi,384,LANCER,2022,LANCER,
27,Mitsubishi,384,LANCER,2021,LANCER,
27,Mitsubishi,384,LANCER,2020,LANCER,
27,Mitsubishi,384,LANCER,2019,LANCER,
27,Mitsubishi,384,LANCER,2018,LANCER,
27,Mitsubishi,384,LANCER,2017,LANCER,
27,Mitsubishi,384,LANCER,2016,LANCER,
27,Mitsubishi,384,LANCER,2015,LANCER,
27,Mitsubishi,384,LANCER,2014,LANCER,
27,Mitsubishi,384,LANCER,2013,LANCER,
27,Mitsubishi,384,LANCER,2012,LANCER,
27,Mitsubishi,384,LANCER,2011,LANCER,
27,Mitsubishi,384,LANCER,2010,LANCER,
27,Mitsubishi,384,LANCER,2009,LANCER,
27,Mitsubishi,384,LANCER,2008,LANCER,
27,Mitsubishi,866,LANCER EVOLUTION,2022,LANCER,EVOLUTION
27,Mitsubishi,866,LANCER EVOLUTION,2021,LANCER,EVOLUTION
27,Mitsubishi,866,LANCER EVOLUTION,2020,LANCER,EVOLUTION
27,Mitsubishi,866,LANCER EVOLUTION,2019,LANCER,EVOLUTION
27,Mitsubishi,866,LANCER EVOLUTION,2018,LANCER,EVOLUTION
27,Mitsubishi,866,LANCER EVOLUTION,2017,LANCER,EVOLUTION
27,Mitsubishi,866,LANCER EVOLUTION,2016,LANCER,EVOLUTION
27,Mitsubishi,866,LANCER EVOLUTION,2015,LANCER,EVOLUTION
27,Mitsubishi,866,LANCER EVOLUTION,2014,LANCER,EVOLUTION
27,Mitsubishi,866,LANCER EVOLUTION,2013,LANCER,EVOLUTION
27,Mitsubishi,866,LANCER EVOLUTION,2012,LANCER,EVOLUTION
27,Mitsubishi,866,LANCER EVOLUTION,2011,LANCER,EVOLUTION
27,Mitsubishi,866,LANCER EVOLUTION,2010,LANCER,EVOLUTION
27,Mitsubishi,866,LANCER EVOLUTION,2009,LANCER,EVOLUTION
27,Mitsubishi,866,LANCER EVOLUTION,2008,LANCER,EVOLUTION
27,Mitsubishi,2325,LANCER SPORTBACK,2022,LANCER,SPORTBACK
