Ano,Combustivel,Consumo
2012,Gasolina,60.1
2013,Gasolina,61.9
2014,Gasolina,61.9
2015,Gasolina,54.6
2016,Gasolina,54.6
2017,Gasolina,54.6
2018,Gasolina,54.6
2019,Gasolina,54.6
