RM,Ano,Produto,Valor_Venda
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2018,DIESEL S10,3.7638076480735903
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2018,ALCOOL,3.190646139913995
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2018,GASOLINA,4.5386858277592115
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2018,GNV,3.89
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2019,DIESEL,3.6931620111732038
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2019,DIESEL S10,3.816140148603683
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2019,ALCOOL,3.0952955778056546
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2019,GASOLINA,4.409073439412527
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,2019,GNV,3.674777777777778
Região Metropolitana da Capital,2013,DIESEL,2.6376543026706165
Região Metropolitana da Capital,2013,DIESEL S10,2.69641494435616
Região Metropolitana da Capital,2013,ALCOOL,2.6867954911433207
Região Metropolitana da Capital,2013,GASOLINA,3.025039940828395
Região Metropolitana da Capital,2014,DIESEL,2.790482999128161
Região Metropolitana da Capital,2014,DIESEL S10,2.8882656675749616
Região Metropolitana da Capital,2014,ALCOOL,2.762033333333328
Região Metropolitana da Capital,2014,GASOLINA,3.1143846153845844
Região Metropolitana da Capital,2015,DIESEL,3.0724461538461196
Região Metropolitana da Capital,2015,DIESEL S10,3.160049549549567
Região Metropolitana da Capital,2015,ALCOOL,2.9959289617486333
Região Metropolitana da Capital,2015,GASOLINA,3.514964091403686
Região Metropolitana da Capital,2016,DIESEL,3.2449264367816086
Região Metropolitana da Capital,2016,DIESEL S10,3.3440646067415694
Região Metropolitana da Capital,2016,ALCOOL,3.6544936708860756
Região Metropolitana da Capital,2016,GASOLINA,3.8786526315789467
Região Metropolitana da Capital,2017,DIESEL,3.2569900497512503
Região Metropolitana da Capital,2017,DIESEL S10,3.320198177676536
Região Metropolitana da Capital,2017,ALCOOL,3.6722807017543913
Região Metropolitana da Capital,2017,GASOLINA,3.759198717948725
Região Metropolitana da Capital,2018,DIESEL,3.5991590493601486
Região Metropolitana da Capital,2018,DIESEL S10,3.6629812206572847
Região Metropolitana da Capital,2018,ALCOOL,3.7712011173184323
Região Metropolitana da Capital,2018,GASOLINA,4.261685800604235
Região Metropolitana da Capital,2019,DIESEL,3.666477358490573
Região Metropolitana da Capital,2019,DIESEL S10,3.7367337367624702
Região Metropolitana da Capital,2019,ALCOOL,3.787823834196886
Região Metropolitana da Capital,2019,GASOLINA,4.115451378809856
Região Metropolitana da Grande São Luís,2013,DIESEL,2.228387018057592
Região Metropolitana da Grande São Luís,2013,DIESEL S10,2.3444076433121017
Região Metropolitana da Grande São Luís,2013,ALCOOL,2.339628686327066
Região Metropolitana da Grande São Luís,2013,GASOLINA,2.7351635906040057
Região Metropolitana da Grande São Luís,2014,DIESEL,2.421675862068949
Região Metropolitana da Grande São Luís,2014,DIESEL S10,2.507033190578164
Região Metropolitana da Grande São Luís,2014,ALCOOL,2.5239899699097244
Região Metropolitana da Grande São Luís,2014,GASOLINA,2.9381035856573345
Região Metropolitana da Grande São Luís,2015,DIESEL,2.766537325676753
Região Metropolitana da Grande São Luís,2015,DIESEL S10,2.9026515798462484
Região Metropolitana da Grande São Luís,2015,ALCOOL,2.712370680628262
Região Metropolitana da Grande São Luís,2015,GASOLINA,3.2445733924611746
Região Metropolitana da Grande São Luís,2015,GNV,2.899
Região Metropolitana da Grande São Luís,2016,DIESEL,3.0207126099706514
Região Metropolitana da Grande São Luís,2016,DIESEL S10,3.1404677716390497
Região Metropolitana da Grande São Luís,2016,ALCOOL,3.125604784688975
Região Metropolitana da Grande São Luís,2016,GASOLINA,3.433913284920976
Região Metropolitana da Grande São Luís,2016,GNV,2.9939999999999998
Região Metropolitana da Grande São Luís,2017,DIESEL,2.99403650442476
Região Metropolitana da Grande São Luís,2017,DIESEL S10,3.1170798201236556
Região Metropolitana da Grande São Luís,2017,ALCOOL,3.2289225225225096
Região Metropolitana da Grande São Luís,2017,GASOLINA,3.446552017937223
Região Metropolitana da Grande São Luís,2018,DIESEL,3.3407270408163012
Região Metropolitana da Grande São Luís,2018,DIESEL S10,3.434313940724453
Região Metropolitana da Grande São Luís,2018,ALCOOL,3.4393062015503912
Região Metropolitana da Grande São Luís,2018,GASOLINA,4.030740246748984
Região Metropolitana da Grande São Luís,2018,GNV,3.474
Região Metropolitana da Grande São Luís,2019,DIESEL,3.5886388415672865
Região Metropolitana da Grande São Luís,2019,DIESEL S10,3.6282322469983437
Região Metropolitana da Grande São Luís,2019,ALCOOL,3.549009032258064
Região Metropolitana da Grande São Luís,2019,GASOLINA,4.267613804173392
Região Metropolitana da Grande São Luís,2019,GNV,3.565666666666667
Região Metropolitana da Grande Vitória,2013,DIESEL,2.3314711373127825
Região Metropolitana da Grande Vitória,2013,DIESEL S10,2.518824404761902
Região Metropolitana da Grande Vitória,2013,ALCOOL,2.4804442771083894
Região Metropolitana da Grande Vitória,2013,GASOLINA,2.864217060637293
Região Metropolitana da Grande Vitória,2013,GNV,1.8451358811040324
Região Metropolitana da Grande Vitória,2014,DIESEL,2.51080234899324
Região Metropolitana da Grande Vitória,2014,DIESEL S10,2.6615895627644677
Região Metropolitana da Grande Vitória,2014,ALCOOL,2.582680989937457
Região Metropolitana da Grande Vitória,2014,GASOLINA,2.9847091175751523
Região Metropolitana da Grande Vitória,2014,GNV,1.842999999999996
Região Metropolitana da Grande Vitória,2015,DIESEL,2.7919182726623903
Região Metropolitana da Grande Vitória,2015,DIESEL S10,2.9502710941752484
Região Metropolitana da Grande Vitória,2015,ALCOOL,2.7756810067310242
Região Metropolitana da Grande Vitória,2015,GASOLINA,3.3482403119667388
Região Metropolitana da Grande Vitória,2015,GNV,1.9083098039215702
Região Metropolitana da Grande Vitória,2016,DIESEL,3.0020091831802267
Região Metropolitana da Grande Vitória,2016,DIESEL S10,3.139607865818391
Região Metropolitana da Grande Vitória,2016,ALCOOL,3.1974522632179254
Região Metropolitana da Grande Vitória,2016,GASOLINA,3.6539885714286227
Região Metropolitana da Grande Vitória,2016,GNV,2.1909694189602535
Região Metropolitana da Grande Vitória,2017,DIESEL,3.1028049414824284
Região Metropolitana da Grande Vitória,2017,DIESEL S10,3.2321904198699367
Região Metropolitana da Grande Vitória,2017,ALCOOL,3.334760975609739
Região Metropolitana da Grande Vitória,2017,GASOLINA,3.7093088552915736
Região Metropolitana da Grande Vitória,2017,GNV,2.2929306569343035
Região Metropolitana da Grande Vitória,2018,DIESEL,3.4049604015616093
Região Metropolitana da Grande Vitória,2018,DIESEL S10,3.516623595505582
Região Metropolitana da Grande Vitória,2018,ALCOOL,3.555878655608887
Região Metropolitana da Grande Vitória,2018,GASOLINA,4.348297735532563
Região Metropolitana da Grande Vitória,2018,GNV,2.780656756756756
Região Metropolitana da Grande Vitória,2019,DIESEL,3.576348776678818
Região Metropolitana da Grande Vitória,2019,DIESEL S10,3.6732444129123984
Região Metropolitana da Grande Vitória,2019,ALCOOL,3.5771180007515833
Região Metropolitana da Grande Vitória,2019,GASOLINA,4.442984877646395
Região Metropolitana da Grande Vitória,2019,GNV,3.260276381909539
Região Metropolitana de Aracaju,2013,DIESEL,2.319761723700881
Região Metropolitana de Aracaju,2013,DIESEL S10,2.4639987623762285
Região Metropolitana de Aracaju,2013,ALCOOL,2.4667218502738786
Região Metropolitana de Aracaju,2013,GASOLINA,2.865143290831831
Região Metropolitana de Aracaju,2013,GNV,1.8665494880546105
Região Metropolitana de Aracaju,2014,DIESEL,2.4591285211267637
Região Metropolitana de Aracaju,2014,DIESEL S10,2.6312943294329427
Região Metropolitana de Aracaju,2014,ALCOOL,2.4882965517241478
Região Metropolitana de Aracaju,2014,GASOLINA,2.91597780959196
Região Metropolitana de Aracaju,2014,GNV,1.873071599045349
Região Metropolitana de Aracaju,2015,DIESEL,2.7586759443339806
Região Metropolitana de Aracaju,2015,DIESEL S10,3.0317929961089347
Região Metropolitana de Aracaju,2015,ALCOOL,2.631263116057233
Região Metropolitana de Aracaju,2015,GASOLINA,3.364903270702848
