RM,VKT,Ano
Campo Grande,9628816907.005907,2015
RIDE-Teresina,8000214872.335828,2015
RIDE-DF,35635746183.102684,2015
RM Boa Vista,2949665280.06294,2015
RM São Luís,7621017392.525141,2015
RM Vitória,11445021762.649078,2015
RM Aracaju,5045185422.064503,2015
RMBH,36332337616.20628,2015
RM Belém,10492787341.857286,2015
RM Curitiba,34381052488.41287,2015
RM Florianópolis,11602319887.9992,2015
RM Fortaleza,19921368045.077606,2015
RM Goiânia,24786382855.823696,2015
RM João Pessoa,7792717135.642259,2015
RM Macapá,3436932767.0496244,2015
RM Maceió,5624186731.368915,2015
RM Manaus,13728344160.074804,2015
RM Natal,9059312082.13867,2015
RM Palmas,4837465925.14176,2015
RM Porto Alegre,35444437955.85034,2015
RM Porto Velho,4657672540.383428,2015
RM Recife,17289308375.439037,2015
RM Salvador,16213123315.28185,2015
RMSP,170069179603.15198,2015
RMRJ,54010298468.94431,2015
RM Cuiabá,9549281251.064188,2015
Rio Branco,2539020446.865642,2015
Campo Grande,8455828494.339212,2016
RIDE-Teresina,7829740291.71445,2016
RIDE-DF,34205765862.60125,2016
RM Boa Vista,2868373309.948644,2016
RM São Luís,7296070359.203033,2016
RM Vitória,10914345876.775787,2016
RM Aracaju,4657913082.335034,2016
RMBH,34565646094.057434,2016
RM Belém,10053147732.561949,2016
RM Curitiba,32086164937.143005,2016
RM Florianópolis,10916863225.51851,2016
RM Fortaleza,19003895013.38727,2016
RM Goiânia,22582373130.49856,2016
RM João Pessoa,7406103053.520047,2016
RM Macapá,2794508872.932457,2016
RM Maceió,5357889873.786467,2016
RM Manaus,12582699759.42718,2016
RM Natal,8571807883.357811,2016
RM Palmas,4468182764.146938,2016
RM Porto Alegre,30990539492.60767,2016
RM Porto Velho,4307505253.335716,2016
RM Recife,15878138089.104914,2016
RM Salvador,15226105216.804504,2016
RMSP,150785357291.78,2016
RMRJ,47736701259.805466,2016
RM Cuiabá,8468487654.420322,2016
Rio Branco,2365458339.383816,2016
Campo Grande,8176640532.857052,2017
RIDE-Teresina,7807886264.155127,2017
RIDE-DF,34985031968.642815,2017
RM Boa Vista,3094904014.415069,2017
RM São Luís,7464235728.804708,2017
RM Vitória,10520475010.021614,2017
RM Aracaju,4483345181.878179,2017
RMBH,34454371908.174446,2017
RM Belém,10090986787.850977,2017
RM Curitiba,33042983439.00745,2017
RM Florianópolis,10580309853.450205,2017
RM Fortaleza,18403633693.8898,2017
RM Goiânia,23204134032.041924,2017
RM João Pessoa,7351555878.390489,2017
RM Macapá,2797241468.0131063,2017
RM Maceió,5259685286.254435,2017
RM Manaus,12526785038.150158,2017
RM Natal,8458980631.032845,2017
RM Palmas,4440340371.7485,2017
RM Porto Alegre,31088467194.65777,2017
RM Porto Velho,4404087593.501482,2017
RM Recife,15992162488.532862,2017
RM Salvador,15060224796.876827,2017
RMSP,150015437110.03485,2017
RMRJ,43537989313.22404,2017
RM Cuiabá,9098213649.707466,2017
Rio Branco,2283187932.7410893,2017
Campo Grande,8264176036.692162,2018
RIDE-Teresina,7866861707.116731,2018
RIDE-DF,35074225639.18642,2018
RM Boa Vista,3195201626.4289265,2018
RM São Luís,7634270465.911897,2018
RM Vitória,10697243199.366396,2018
RM Aracaju,4418187195.808786,2018
RMBH,32289681054.217503,2018
RM Belém,10533472633.713251,2018
RM Curitiba,33634871318.046173,2018
RM Florianópolis,10494017455.681677,2018
RM Fortaleza,18453522607.668827,2018
RM Goiânia,23714882941.64312,2018
RM João Pessoa,7432384003.518682,2018
RM Macapá,2898443452.9420867,2018
RM Maceió,5233949253.7825,2018
RM Manaus,13235451162.651966,2018
RM Natal,8295947094.168838,2018
RM Palmas,4658453494.064084,2018
RM Porto Alegre,30038617917.106003,2018
RM Porto Velho,4455764448.328732,2018
RM Recife,15554733335.047264,2018
RM Salvador,14244780000.406923,2018
RMSP,152168943354.57083,2018
RMRJ,39917186851.44936,2018
RM Cuiabá,10244572410.180117,2018
Rio Branco,2345403309.544932,2018
Campo Grande,8266695744.986942,2019
RIDE-Teresina,8093003002.172464,2019
RIDE-DF,35540344238.710594,2019
RM Boa Vista,3594703041.000529,2019
RM São Luís,7562079719.985992,2019
RM Vitória,10914727327.931051,2019
RM Aracaju,4504473020.154904,2019
RMBH,32204435498.27873,2019
RM Belém,10732799284.312508,2019
RM Curitiba,33187455249.5374,2019
RM Florianópolis,10623226291.46868,2019
RM Fortaleza,18762824668.108646,2019
RM Goiânia,22520517227.467003,2019
RM João Pessoa,7321174223.685622,2019
RM Macapá,3094343243.082424,2019
RM Maceió,5444402582.758892,2019
RM Manaus,13737626957.089132,2019
RM Natal,8133860720.063568,2019
RM Palmas,4744213941.277901,2019
RM Porto Alegre,29982909477.24426,2019
RM Porto Velho,4455980367.359239,2019
RM Recife,15190605260.183266,2019
RM Salvador,14450850766.33584,2019
RMSP,149151175694.44925,2019
RMRJ,37541918994.31124,2019
RM Cuiabá,10319486972.127949,2019
Rio Branco,2319389703.823681,2019
