Marca_Cod,Marca,Modelo_Cod,Modelo,Ano,Modelo_A,Modelo_B,Modelo_C
7,Citroën,175,XSARA PICASSO,2021,XSARA,PICASSO,
12,Dodge,1078,DART,2018,DART,,
12,Dodge,957,JOURNEY,2018,JOURNEY,,
12,Dodge,960,NITRO,2018,NITRO,,
12,Dodge,584,RAM PICKUP,2018,RAM,PICKUP,
12,Dodge,192,STEALTH,2018,STEALTH,,
91,Effa,2322,PLUTUS,2019,PLUTUS,,
91,Effa,2810,V25,2019,V25,,
13,Ferrari,2663,ENZO,2015,ENZO,,
14,Fiat,202,147,2022,147,,
14,Fiat,588,147 FURGAO,2022,147,FURGAO,
14,Fiat,589,147 PICK-UP,2022,147,PICK-UP,
14,Fiat,1052,500,2022,500,,
14,Fiat,2723,ARGO,2022,ARGO,,
14,Fiat,2753,CRONOS,2022,CRONOS,,
14,Fiat,208,DOBLÒ,2022,DOBLÒ,,
14,Fiat,1103,DOBLÒ CARGO,2022,DOBLÒ,CARGO,
14,Fiat,591,DUCATO,2022,DUCATO,,
14,Fiat,209,DUNA,2022,DUNA,,
14,Fiat,210,ELBA,2022,ELBA,,
14,Fiat,893,FIORINO,2014,FIORINO,,
14,Fiat,935,FIORINO PICK-UP,2022,FIORINO,PICK-UP,
14,Fiat,2311,FREEMONT,2022,FREEMONT,,
14,Fiat,857,IDEA,2010,IDEA,,
14,Fiat,973,LINEA,2022,LINEA,,
14,Fiat,211,MAREA,2022,MAREA,,
14,Fiat,212,MAREA WEEKEND,2022,MAREA,WEEKEND,
14,Fiat,2679,MOBI,2022,MOBI,,
14,Fiat,214,PALIO,2017,PALIO,,
14,Fiat,215,PALIO WEEKEND,2014,PALIO,WEEKEND,
14,Fiat,217,PREMIO,2022,PREMIO,,
14,Fiat,218,PUNTO,2022,PUNTO,,
14,Fiat,219,PUNTO CABRIO,2022,PUNTO,CABRIO,
14,Fiat,220,SIENA,2022,SIENA,,
14,Fiat,221,STILO,2022,STILO,,
14,Fiat,601,STRADA,2022,STRADA,,
14,Fiat,222,TEMPRA,1995,TEMPRA,,
14,Fiat,268,TIPO,2022,TIPO,,
14,Fiat,2667,TORO,2022,TORO,,
14,Fiat,1087,UNO,2021,UNO,,
14,Fiat,603,UNO FURGÃO,1993,UNO,FURGÃO,
14,Fiat,269,UNO MILLE,1991,UNO,MILLE,
14,Fiat,604,UNO PICK-UP,1994,UNO,PICK-UP,
14,Fiat,2543,WEEKEND,2022,WEEKEND,,
15,Ford,1023,BELINA,2021,BELINA,,
15,Ford,605,CLUB WAGON,2021,CLUB,WAGON,
15,Ford,273,CORCEL,2021,CORCEL,,
15,Ford,606,COURIER,2021,COURIER,,
15,Ford,887,COURIER VAN,2021,COURIER,VAN,
15,Ford,275,CROWN VICTORIA,2021,CROWN,VICTORIA,
15,Ford,278,DEL REY,2021,DEL,REY,
15,Ford,276,DEL REY BELINA / SCALA,2021,DEL,REY,BELINA / SCALA
15,Ford,607,ECOSPORT,2021,ECOSPORT,,
15,Ford,961,EDGE,2021,EDGE,,
15,Ford,2725,ESCAPE,2021,ESCAPE,,
15,Ford,280,ESCORT,2021,ESCORT,,
15,Ford,279,ESCORT CONVERSIVEL,2021,ESCORT,CONVERSIVEL,
15,Ford,281,ESCORT SEDAN,2021,ESCORT,SEDAN,
15,Ford,282,ESCORT SW,2021,ESCORT,SW,
15,Ford,1057,EXCURSION,2021,EXCURSION,,
15,Ford,608,EXPEDITION,2021,EXPEDITION,,
15,Ford,611,F-1000,2021,F-1000,,
15,Ford,618,F-150,2021,F-150,,
15,Ford,619,F-250,2021,F-250,,
15,Ford,979,F-4000,2021,F-4000,,
15,Ford,2611,FAIRLANE,2021,FAIRLANE,,
15,Ford,283,FIESTA HATCH,2021,FIESTA,HATCH,
15,Ford,284,FIESTA SEDAN,2021,FIESTA,SEDAN,
15,Ford,285,FOCUS HATCH,2021,FOCUS,HATCH,
15,Ford,286,FOCUS SEDAN,2021,FOCUS,SEDAN,
15,Ford,1064,FORD 1929,2021,FORD,1929,
15,Ford,881,FUSION,2021,FUSION,,
15,Ford,897,GT,2021,GT,,
15,Ford,625,IBIZA,2021,IBIZA,,
15,Ford,1047,JEEP,2021,JEEP,,
15,Ford,287,KA,2021,KA,,
15,Ford,2547,KA SEDAN,2021,KA,SEDAN,
15,Ford,627,PAMPA,2021,PAMPA,,
