Marca_Cod,Marca,Modelo_Cod,Modelo,Ano,Modelo_A,Modelo_B,Modelo_C
35,Toyota,2759,YARIS SEDAN,2020,YARIS,SEDAN,
35,Toyota,2759,YARIS SEDAN,2019,YARIS,SEDAN,
35,Toyota,2759,YARIS SEDAN,2018,YARIS,SEDAN,
35,Toyota,2759,YARIS SEDAN,2017,YARIS,SEDAN,
35,Toyota,2759,YARIS SEDAN,2016,YARIS,SEDAN,
35,Toyota,2759,YARIS SEDAN,2015,YARIS,SEDAN,
35,Toyota,2759,YARIS SEDAN,2014,YARIS,SEDAN,
35,Toyota,2759,YARIS SEDAN,2013,YARIS,SEDAN,
35,Toyota,2759,YARIS SEDAN,2012,YARIS,SEDAN,
35,Toyota,2759,YARIS SEDAN,2011,YARIS,SEDAN,
35,Toyota,2759,YARIS SEDAN,2010,YARIS,SEDAN,
35,Toyota,2759,YARIS SEDAN,2009,YARIS,SEDAN,
35,Toyota,2759,YARIS SEDAN,2008,YARIS,SEDAN,
35,Toyota,2759,YARIS SEDAN,2007,YARIS,SEDAN,
35,Toyota,2759,YARIS SEDAN,2006,YARIS,SEDAN,
35,Toyota,2759,YARIS SEDAN,2005,YARIS,SEDAN,
35,Toyota,2759,YARIS SEDAN,2004,YARIS,SEDAN,
35,Toyota,2759,YARIS SEDAN,2003,YARIS,SEDAN,
35,Toyota,2759,YARIS SEDAN,2002,YARIS,SEDAN,
35,Toyota,2759,YARIS SEDAN,2001,YARIS,SEDAN,
35,Toyota,2759,YARIS SEDAN,2000,YARIS,SEDAN,
35,Toyota,2759,YARIS SEDAN,1999,YARIS,SEDAN,
35,Toyota,2759,YARIS SEDAN,1998,YARIS,SEDAN,
35,Toyota,2759,YARIS SEDAN,1997,YARIS,SEDAN,
35,Toyota,2759,YARIS SEDAN,1996,YARIS,SEDAN,
35,Toyota,2759,YARIS SEDAN,1995,YARIS,SEDAN,
35,Toyota,2759,YARIS SEDAN,1994,YARIS,SEDAN,
35,Toyota,2759,YARIS SEDAN,1993,YARIS,SEDAN,
35,Toyota,2759,YARIS SEDAN,1992,YARIS,SEDAN,
38,Volvo,496,440,2021,440,,
38,Volvo,496,440,2020,440,,
38,Volvo,496,440,2019,440,,
38,Volvo,496,440,2018,440,,
38,Volvo,496,440,2017,440,,
38,Volvo,496,440,2016,440,,
38,Volvo,496,440,2015,440,,
38,Volvo,496,440,2014,440,,
38,Volvo,496,440,2013,440,,
38,Volvo,496,440,2012,440,,
38,Volvo,496,440,2011,440,,
38,Volvo,496,440,2010,440,,
38,Volvo,496,440,2009,440,,
38,Volvo,499,855,2021,855,,
38,Volvo,499,855,2020,855,,
38,Volvo,499,855,2019,855,,
38,Volvo,499,855,2018,855,,
38,Volvo,499,855,2017,855,,
38,Volvo,499,855,2016,855,,
38,Volvo,499,855,2015,855,,
38,Volvo,499,855,2014,855,,
38,Volvo,499,855,2013,855,,
38,Volvo,499,855,2012,855,,
38,Volvo,499,855,2011,855,,
38,Volvo,499,855,2010,855,,
38,Volvo,499,855,2009,855,,
38,Volvo,2767,S90,2021,S90,,
38,Volvo,2767,S90,2020,S90,,
38,Volvo,2767,S90,2019,S90,,
38,Volvo,2767,S90,2018,S90,,
38,Volvo,2767,S90,2017,S90,,
38,Volvo,2767,S90,2016,S90,,
38,Volvo,2767,S90,2015,S90,,
38,Volvo,2767,S90,2014,S90,,
38,Volvo,2767,S90,2013,S90,,
38,Volvo,2767,S90,2012,S90,,
38,Volvo,2767,S90,2011,S90,,
38,Volvo,2767,S90,2010,S90,,
38,Volvo,2767,S90,2009,S90,,
38,Volvo,853,V50,2021,V50,,
38,Volvo,853,V50,2020,V50,,
38,Volvo,853,V50,2019,V50,,
38,Volvo,853,V50,2018,V50,,
38,Volvo,853,V50,2017,V50,,
38,Volvo,853,V50,2016,V50,,
38,Volvo,853,V50,2015,V50,,
38,Volvo,853,V50,2014,V50,,
38,Volvo,853,V50,2013,V50,,
38,Volvo,853,V50,2012,V50,,
38,Volvo,853,V50,2011,V50,,
38,Volvo,853,V50,2010,V50,,
38,Volvo,853,V50,2009,V50,,
38,Volvo,854,V70,2021,V70,,
38,Volvo,854,V70,2020,V70,,
38,Volvo,854,V70,2019,V70,,
38,Volvo,854,V70,2018,V70,,
38,Volvo,854,V70,2017,V70,,
38,Volvo,854,V70,2016,V70,,
38,Volvo,854,V70,2015,V70,,
38,Volvo,854,V70,2014,V70,,
38,Volvo,854,V70,2013,V70,,
38,Volvo,854,V70,2012,V70,,
38,Volvo,854,V70,2011,V70,,
38,Volvo,854,V70,2010,V70,,
38,Volvo,854,V70,2009,V70,,
38,Volvo,994,XC60,2021,XC60,,
38,Volvo,994,XC60,2020,XC60,,
38,Volvo,994,XC60,2019,XC60,,
38,Volvo,994,XC60,2018,XC60,,
38,Volvo,994,XC60,2017,XC60,,
38,Volvo,994,XC60,2016,XC60,,
38,Volvo,994,XC60,2015,XC60,,
38,Volvo,994,XC60,2014,XC60,,
38,Volvo,994,XC60,2013,XC60,,
38,Volvo,994,XC60,2012,XC60,,
38,Volvo,994,XC60,2011,XC60,,
38,Volvo,994,XC60,2010,XC60,,
38,Volvo,994,XC60,2009,XC60,,
