Marca_Cod,Marca,Modelo_Cod,Modelo,Ano,Versao,Versao_Cod,Combustivel_Gasolina,Combustivel_Alcool,Consumo_Cidade_Gasolina,Consumo_Cidade_Alcool,Consumo_Estrada_Gasolina,Consumo_Estrada_Alcool,Chave_A,Chave_B,Combustivel
36,Volkswagen,481,GOLF,2005,Golf Sport 1.6 MI,17223,Gasolina,N/D,9.7,N/D,16.9,N/D,36-481-2005,36-481-17223-2005,GASOLINA
5,Chevrolet,2487,S10 CABINE SIMPLES,2022,S10 2.8 LS Chassi Cabine 4WD,31149,Diesel,N/D,9.7,N/D,11,N/D,5-2487-2022,5-2487-31149-2022,DIESEL
36,Volkswagen,481,GOLF,1995,Golf GL 1.8 i,1828,N/D,N/D,9.7,N/D,16.9,N/D,36-481-1995,36-481-1828-1995,N/D
15,Ford,2498,RANGER (CABINE SIMPLES-ESTENDIDA),2021,Ranger 2.2 TD XL Chassis 4x4,30347,Diesel,N/D,9.6,N/D,10.5,N/D,15-2498-2021,15-2498-30347-2021,DIESEL
36,Volkswagen,2519,UP!,2018,Up! 1.0 12v E-Flex take up! 4p,27588,Álcool,Gasolina,9.6,14,10.6,15,36-2519-2018,36-2519-27588-2018,FLEX
5,Chevrolet,135,CORSA SEDAN,2001,Corsa Sedan GL 1.6 MPFi,18141,N/D,N/D,9.6,N/D,14.3,N/D,5-135-2001,5-135-18141-2001,N/D
228,Jac,2796,T60,2022,T60 Plus 1.5T CVT,31031,Gasolina,N/D,9.6,N/D,11.2,N/D,228-2796-2022,228-2796-31031-2022,GASOLINA
29,Peugeot,2419,208,2020,208 1.2 Active,29775,Álcool,Gasolina,9.6,13.9,10.7,15.5,29-2419-2020,29-2419-29775-2020,FLEX
36,Volkswagen,2519,UP!,2020,up! 1.0 MPI,29524,Álcool,Gasolina,9.6,14,10.6,15,36-2519-2020,36-2519-29524-2020,FLEX
36,Volkswagen,2519,UP!,2019,Up! 1.0 12v E-Flex take up! 4p,28767,Álcool,Gasolina,9.6,14,10.6,15,36-2519-2019,36-2519-28767-2019,FLEX
31,Renault,431,CLIO,2001,Clio Authentique 1.0 16V (Flex) 2p,22399,Álcool,Gasolina,9.5,14.3,10.7,15.8,31-431-2001,31-431-22399-2001,FLEX
31,Renault,919,SANDERO,2017,Sandero Authentique 1.0 12V SCe (Flex),26869,Álcool,Gasolina,9.5,14.2,9.6,14.1,31-919-2017,31-919-26869-2017,FLEX
31,Renault,919,SANDERO,2019,Sandero Authentique 1.0 12V SCe (Flex),28733,Álcool,Gasolina,9.5,14.2,9.6,14.1,31-919-2019,31-919-28733-2019,FLEX
31,Renault,431,CLIO,2000,Clio Authentique 1.0 16V (Flex) 2p,22399,Álcool,Gasolina,9.5,14.3,10.7,15.8,31-431-2000,31-431-22399-2000,FLEX
17,Hyundai,2448,HB20S,2020,HB20S 1.0 Vision,30965,Álcool,Gasolina,9.5,12.8,10.6,14.7,17-2448-2020,17-2448-30965-2020,FLEX
17,Hyundai,2448,HB20S,2019,HB20S 1.0 Vision,30965,Álcool,Gasolina,9.5,12.8,10.6,14.7,17-2448-2019,17-2448-30965-2019,FLEX
17,Hyundai,2448,HB20S,2018,HB20S 1.0 Vision,30965,Álcool,Gasolina,9.5,12.8,10.6,14.7,17-2448-2018,17-2448-30965-2018,FLEX
17,Hyundai,2448,HB20S,2017,HB20S 1.0 Vision,30965,Álcool,Gasolina,9.5,12.8,10.6,14.7,17-2448-2017,17-2448-30965-2017,FLEX
17,Hyundai,2448,HB20S,2016,HB20S 1.0 Vision,30965,Álcool,Gasolina,9.5,12.8,10.6,14.7,17-2448-2016,17-2448-30965-2016,FLEX
14,Fiat,893,FIORINO,2014,Fiorino Furgão 1.4 Evo (Flex),16073,Álcool,Gasolina,9.5,11,10.8,12.2,14-893-2014,14-893-16073-2014,FLEX
5,Chevrolet,130,CELTA,2012,Celta LS 1.0 (Flex) 2p,12305,Álcool,Gasolina,9.5,N/D,12.2,N/D,5-130-2012,5-130-12305-2012,FLEX
14,Fiat,215,PALIO WEEKEND,2014,Palio Weekend Attractive 1.4 8V (Flex),14883,Álcool,Gasolina,9.5,10.3,13,12.1,14-215-2014,14-215-14883-2014,FLEX
36,Volkswagen,478,FOX,2011,Fox 1.0 8V (Flex) 2p,6996,Álcool,Gasolina,9.5,N/D,12.2,N/D,36-478-2011,36-478-6996-2011,FLEX
17,Hyundai,2448,HB20S,2015,HB20S 1.0 Vision,30965,Álcool,Gasolina,9.5,12.8,10.6,14.7,17-2448-2015,17-2448-30965-2015,FLEX
17,Hyundai,2448,HB20S,2014,HB20S 1.0 Vision,30965,Álcool,Gasolina,9.5,12.8,10.6,14.7,17-2448-2014,17-2448-30965-2014,FLEX
29,Peugeot,730,BOXER,2020,Boxer 2.0 BlueHDI Business L3H2 13m,30751,Diesel,N/D,9.5,N/D,9.6,N/D,29-730-2020,29-730-30751-2020,DIESEL
7,Citroën,572,JUMPER,2021,Jumper 2.0 BlueHDI Furgao L3H2 13m,30719,Diesel,N/D,9.5,N/D,9.6,N/D,7-572-2021,7-572-30719-2021,DIESEL
36,Volkswagen,478,FOX,2012,Fox 1.0 VHT (Flex) 2p,12558,Álcool,Gasolina,9.5,N/D,12.2,N/D,36-478-2012,36-478-12558-2012,FLEX
36,Volkswagen,478,FOX,2013,Fox 1.0 TEC (Flex) 2p,23281,Álcool,Gasolina,9.5,N/D,12.2,N/D,36-478-2013,36-478-23281-2013,FLEX
31,Renault,431,CLIO,2013,Clio Authentique 1.0 16V (Flex) 2p,14566,Álcool,Gasolina,9.5,N/D,10.7,N/D,31-431-2013,31-431-14566-2013,FLEX
31,Renault,431,CLIO,2014,Clio Authentique 1.0 16V (Flex) 2p,14729,Álcool,Gasolina,9.5,14.3,10.7,15.8,31-431-2014,31-431-14729-2014,FLEX
31,Renault,431,CLIO,2015,Clio Authentique 1.0 16V (Flex) 2p,17823,Álcool,Gasolina,9.5,14.3,10.7,15.8,31-431-2015,31-431-17823-2015,FLEX
31,Renault,431,CLIO,2016,Clio Authentique 1.0 16V (Flex) 2p,22399,Álcool,Gasolina,9.5,14.3,10.7,15.8,31-431-2016,31-431-22399-2016,FLEX
36,Volkswagen,2519,UP!,2021,up! 1.0 170 TSI Xtreme,30695,Álcool,Gasolina,9.5,13.7,10.4,14.7,36-2519-2021,36-2519-30695-2021,FLEX
36,Volkswagen,478,FOX,2014,Fox 1.0 TEC (Flex) 2p,14866,Álcool,Gasolina,9.5,N/D,12.2,N/D,36-478-2014,36-478-14866-2014,FLEX
31,Renault,919,SANDERO,2018,Sandero Authentique 1.0 12V SCe (Flex),27542,Álcool,Gasolina,9.5,14.2,9.6,14.1,31-919-2018,31-919-27542-2018,FLEX
31,Renault,919,SANDERO,2020,Sandero 1.0 Life,29690,Álcool,Gasolina,9.5,14.2,9.6,14.1,31-919-2020,31-919-29690-2020,FLEX
40,Outras,767,RAV4,2017,RAV4 2.0 Top CVT,27239,Gasolina,N/D,9.5,N/D,10.9,N/D,40-767-2017,40-767-27239-2017,GASOLINA
29,Peugeot,730,BOXER,2021,Boxer 2.0 BlueHDI Business L3H2 13m,30627,Diesel,N/D,9.5,N/D,9.6,N/D,29-730-2021,29-730-30627-2021,DIESEL
