Marca_Cod,Marca,Modelo_Cod,Modelo,Ano,Versao,Versao_Cod,Combustivel_Gasolina,Combustivel_Alcool,Consumo_Cidade_Gasolina,Consumo_Cidade_Alcool,Consumo_Estrada_Gasolina,Consumo_Estrada_Alcool,Chave_A,Chave_B
15,Ford,287,Ka,2018,Ka 1.0 S,30330,,,,,,,15-287-2018,15-287-30330-2018
15,Ford,287,Ka,2017,Ka 1.0 S,30330,,,,,,,15-287-2017,15-287-30330-2017
15,Ford,287,Ka,2016,Ka 1.0 S,30330,,,,,,,15-287-2016,15-287-30330-2016
15,Ford,287,Ka,2015,Ka 1.0 S,30330,,,,,,,15-287-2015,15-287-30330-2015
15,Ford,287,Ka,2013,Ka 1.0 S,30330,,,,,,,15-287-2013,15-287-30330-2013
15,Ford,287,Ka,2012,Ka 1.0 S,30330,,,,,,,15-287-2012,15-287-30330-2012
15,Ford,287,Ka,2011,Ka 1.0 S,30330,,,,,,,15-287-2011,15-287-30330-2011
15,Ford,287,Ka,2010,Ka 1.0 S,30330,,,,,,,15-287-2010,15-287-30330-2010
15,Ford,287,Ka,2009,Ka 1.0 S,30330,,,,,,,15-287-2009,15-287-30330-2009
15,Ford,287,Ka,2008,Ka 1.0 S,30330,,,,,,,15-287-2008,15-287-30330-2008
15,Ford,287,Ka,2007,Ka 1.0 S,30330,,,,,,,15-287-2007,15-287-30330-2007
15,Ford,287,Ka,2006,Ka 1.0 S,30330,,,,,,,15-287-2006,15-287-30330-2006
15,Ford,287,Ka,2005,Ka 1.0 S,30330,,,,,,,15-287-2005,15-287-30330-2005
15,Ford,287,Ka,2004,Ka 1.0 S,30330,,,,,,,15-287-2004,15-287-30330-2004
15,Ford,287,Ka,2003,Ka 1.0 S,30330,,,,,,,15-287-2003,15-287-30330-2003
15,Ford,287,Ka,2002,Ka 1.0 S,30330,,,,,,,15-287-2002,15-287-30330-2002
15,Ford,287,Ka,2001,Ka 1.0 S,30330,,,,,,,15-287-2001,15-287-30330-2001
15,Ford,287,Ka,2000,Ka 1.0 S,30330,,,,,,,15-287-2000,15-287-30330-2000
15,Ford,287,Ka,1999,Ka 1.0 S,30330,,,,,,,15-287-1999,15-287-30330-1999
15,Ford,287,Ka,1998,Ka 1.0 S,30330,,,,,,,15-287-1998,15-287-30330-1998
15,Ford,287,Ka,1997,Ka 1.0 S,30330,,,,,,,15-287-1997,15-287-30330-1997
16,Honda,1036,City,2019,City 1.5 DX,30633,,,,,,,16-1036-2019,16-1036-30633-2019
16,Honda,1036,City,2018,City 1.5 DX,30633,,,,,,,16-1036-2018,16-1036-30633-2018
16,Honda,1036,City,2017,City 1.5 DX,30633,,,,,,,16-1036-2017,16-1036-30633-2017
16,Honda,1036,City,2016,City 1.5 DX,30633,,,,,,,16-1036-2016,16-1036-30633-2016
16,Honda,1036,City,2015,City 1.5 DX,30633,,,,,,,16-1036-2015,16-1036-30633-2015
16,Honda,1036,City,2014,City 1.5 DX,30633,,,,,,,16-1036-2014,16-1036-30633-2014
16,Honda,1036,City,2013,City 1.5 DX,30633,,,,,,,16-1036-2013,16-1036-30633-2013
16,Honda,1036,City,2012,City 1.5 DX,30633,,,,,,,16-1036-2012,16-1036-30633-2012
16,Honda,1036,City,2011,City 1.5 DX,30633,,,,,,,16-1036-2011,16-1036-30633-2011
16,Honda,1036,City,2010,City 1.5 DX,30633,,,,,,,16-1036-2010,16-1036-30633-2010
16,Honda,231,Civic,2020,Civic 2.0 LX CVT,30568,,,,,,,16-231-2020,16-231-30568-2020
16,Honda,231,Civic,2019,Civic 2.0 LX CVT,30568,,,,,,,16-231-2019,16-231-30568-2019
16,Honda,231,Civic,2018,Civic 2.0 LX CVT,30568,,,,,,,16-231-2018,16-231-30568-2018
16,Honda,231,Civic,2017,Civic 2.0 LX CVT,30568,,,,,,,16-231-2017,16-231-30568-2017
16,Honda,231,Civic,2016,Civic 2.0 LX CVT,30568,,,,,,,16-231-2016,16-231-30568-2016
16,Honda,231,Civic,2015,Civic 2.0 LX CVT,30568,,,,,,,16-231-2015,16-231-30568-2015
16,Honda,231,Civic,2014,Civic 2.0 LX CVT,30568,,,,,,,16-231-2014,16-231-30568-2014
16,Honda,231,Civic,2013,Civic 2.0 LX CVT,30568,,,,,,,16-231-2013,16-231-30568-2013
16,Honda,231,Civic,2012,Civic 2.0 LX CVT,30568,,,,,,,16-231-2012,16-231-30568-2012
16,Honda,231,Civic,2011,Civic 2.0 LX CVT,30568,,,,,,,16-231-2011,16-231-30568-2011
16,Honda,231,Civic,2010,Civic 2.0 LX CVT,30568,,,,,,,16-231-2010,16-231-30568-2010
16,Honda,231,Civic,2009,Civic 2.0 LX CVT,30568,,,,,,,16-231-2009,16-231-30568-2009
16,Honda,231,Civic,2008,Civic 2.0 LX CVT,30568,,,,,,,16-231-2008,16-231-30568-2008
16,Honda,231,Civic,2007,Civic 2.0 LX CVT,30568,,,,,,,16-231-2007,16-231-30568-2007
16,Honda,231,Civic,2006,Civic 2.0 LX CVT,30568,,,,,,,16-231-2006,16-231-30568-2006
16,Honda,231,Civic,2005,Civic 2.0 LX CVT,30568,,,,,,,16-231-2005,16-231-30568-2005
16,Honda,231,Civic,2004,Civic 2.0 LX CVT,30568,,,,,,,16-231-2004,16-231-30568-2004
16,Honda,231,Civic,2003,Civic 2.0 LX CVT,30568,,,,,,,16-231-2003,16-231-30568-2003
16,Honda,231,Civic,2002,Civic 2.0 LX CVT,30568,,,,,,,16-231-2002,16-231-30568-2002
16,Honda,231,Civic,2001,Civic 2.0 LX CVT,30568,,,,,,,16-231-2001,16-231-30568-2001
16,Honda,231,Civic,2000,Civic 2.0 LX CVT,30568,,,,,,,16-231-2000,16-231-30568-2000
16,Honda,231,Civic,1999,Civic 2.0 LX CVT,30568,,,,,,,16-231-1999,16-231-30568-1999
16,Honda,231,Civic,1998,Civic 2.0 LX CVT,30568,,,,,,,16-231-1998,16-231-30568-1998
16,Honda,233,Fit,2020,Fit 1.5 DX,31036,,,,,,,16-233-2020,16-233-31036-2020
16,Honda,233,Fit,2019,Fit 1.5 DX,31036,,,,,,,16-233-2019,16-233-31036-2019
16,Honda,233,Fit,2018,Fit 1.5 DX,31036,,,,,,,16-233-2018,16-233-31036-2018
16,Honda,233,Fit,2017,Fit 1.5 DX,31036,,,,,,,16-233-2017,16-233-31036-2017
16,Honda,233,Fit,2016,Fit 1.5 DX,31036,,,,,,,16-233-2016,16-233-31036-2016
16,Honda,233,Fit,2015,Fit 1.5 DX,31036,,,,,,,16-233-2015,16-233-31036-2015
16,Honda,233,Fit,2014,Fit 1.5 DX,31036,,,,,,,16-233-2014,16-233-31036-2014
16,Honda,233,Fit,2013,Fit 1.5 DX,31036,,,,,,,16-233-2013,16-233-31036-2013
16,Honda,233,Fit,2012,Fit 1.5 DX,31036,,,,,,,16-233-2012,16-233-31036-2012
16,Honda,233,Fit,2011,Fit 1.5 DX,31036,,,,,,,16-233-2011,16-233-31036-2011
16,Honda,233,Fit,2010,Fit 1.5 DX,31036,,,,,,,16-233-2010,16-233-31036-2010
16,Honda,233,Fit,2009,Fit 1.5 DX,31036,,,,,,,16-233-2009,16-233-31036-2009
16,Honda,233,Fit,2008,Fit 1.5 DX,31036,,,,,,,16-233-2008,16-233-31036-2008
16,Honda,233,Fit,2007,Fit 1.5 DX,31036,,,,,,,16-233-2007,16-233-31036-2007
16,Honda,233,Fit,2006,Fit 1.5 DX,31036,,,,,,,16-233-2006,16-233-31036-2006
16,Honda,233,Fit,2005,Fit 1.5 DX,31036,,,,,,,16-233-2005,16-233-31036-2005
16,Honda,233,Fit,2004,Fit 1.5 DX,31036,,,,,,,16-233-2004,16-233-31036-2004
16,Honda,233,Fit,2003,Fit 1.5 DX,31036,,,,,,,16-233-2003,16-233-31036-2003
16,Honda,2627,HR-V,2020,HR-V 1.8 LX CVT,30644,,,,,,,16-2627-2020,16-2627-30644-2020
