RM,Ano,Combustivel,Quantidade
Região Integrada de Desenvolvimento da Grande Teresina,2005,Volume_Venda_Gasolina,102521395.0
Região Integrada de Desenvolvimento da Grande Teresina,2006,Volume_Venda_Alcool,9608296.0
Região Integrada de Desenvolvimento da Grande Teresina,2006,Volume_Venda_Diesel,144943318.32475618
Região Integrada de Desenvolvimento da Grande Teresina,2006,Volume_Venda_Gasolina,113644441.0
Região Integrada de Desenvolvimento da Grande Teresina,2007,Volume_Venda_Alcool,14833932.0
Região Integrada de Desenvolvimento da Grande Teresina,2007,Volume_Venda_Diesel,155866847.0
Região Integrada de Desenvolvimento da Grande Teresina,2007,Volume_Venda_Gasolina,121088569.0
Região Integrada de Desenvolvimento da Grande Teresina,2008,Volume_Venda_Alcool,21855424.0
Região Integrada de Desenvolvimento da Grande Teresina,2008,Volume_Venda_Diesel,188801282.0
Região Integrada de Desenvolvimento da Grande Teresina,2008,Volume_Venda_Gasolina,132275094.0
Região Integrada de Desenvolvimento da Grande Teresina,2009,Volume_Venda_Alcool,25686091.0
Região Integrada de Desenvolvimento da Grande Teresina,2009,Volume_Venda_Diesel,173518254.0
Região Integrada de Desenvolvimento da Grande Teresina,2009,Volume_Venda_Gasolina,146131550.0
Região Integrada de Desenvolvimento da Grande Teresina,2010,Volume_Venda_Alcool,13411671.0
Região Integrada de Desenvolvimento da Grande Teresina,2010,Volume_Venda_Diesel,194114525.0
Região Integrada de Desenvolvimento da Grande Teresina,2010,Volume_Venda_Gasolina,182721900.0
Região Integrada de Desenvolvimento da Grande Teresina,2011,Volume_Venda_Alcool,9435123.0
Região Integrada de Desenvolvimento da Grande Teresina,2011,Volume_Venda_Diesel,191328589.0
Região Integrada de Desenvolvimento da Grande Teresina,2011,Volume_Venda_Gasolina,203345500.0
Região Integrada de Desenvolvimento da Grande Teresina,2012,Volume_Venda_Alcool,10764000.0
Região Integrada de Desenvolvimento da Grande Teresina,2012,Volume_Venda_Diesel,209265575.0
Região Integrada de Desenvolvimento da Grande Teresina,2012,Volume_Venda_Gasolina,237254696.0
Região Integrada de Desenvolvimento da Grande Teresina,2013,Volume_Venda_Alcool,12026000.0
Região Integrada de Desenvolvimento da Grande Teresina,2013,Volume_Venda_Diesel,225007251.0
