Marca_Cod,Marca,Modelo_Cod,Modelo,Ano,Versao,Versao_Cod,Combustivel_Gasolina,Combustivel_Alcool,Consumo_Cidade_Gasolina,Consumo_Cidade_Alcool,Consumo_Estrada_Gasolina,Consumo_Estrada_Alcool,Chave_A,Chave_B
36,Volkswagen,480,Gol,2022,GOL 1.0,30807,Álcool,Gasolina,9.1,13.3,10.1,14.4,36-480-2022,36-480-30807-2022
36,Volkswagen,480,Gol,2022,GOL 1.0,30807,,,,,,,36-480-2022,36-480-30807-2022
36,Volkswagen,480,Gol,2021,GOL 1.0,30807,,,,,,,36-480-2021,36-480-30807-2021
36,Volkswagen,480,Gol,2020,GOL 1.0,30807,,,,,,,36-480-2020,36-480-30807-2020
36,Volkswagen,480,Gol,2019,GOL 1.0,30807,,,,,,,36-480-2019,36-480-30807-2019
36,Volkswagen,480,Gol,2018,GOL 1.0,30807,,,,,,,36-480-2018,36-480-30807-2018
36,Volkswagen,480,Gol,2017,GOL 1.0,30807,,,,,,,36-480-2017,36-480-30807-2017
36,Volkswagen,480,Gol,2016,GOL 1.0,30807,,,,,,,36-480-2016,36-480-30807-2016
36,Volkswagen,480,Gol,2015,GOL 1.0,30807,,,,,,,36-480-2015,36-480-30807-2015
36,Volkswagen,480,Gol,2014,GOL 1.0,30807,,,,,,,36-480-2014,36-480-30807-2014
36,Volkswagen,480,Gol,2013,GOL 1.0,30807,,,,,,,36-480-2013,36-480-30807-2013
36,Volkswagen,480,Gol,2012,GOL 1.0,30807,,,,,,,36-480-2012,36-480-30807-2012
36,Volkswagen,480,Gol,2011,GOL 1.0,30807,,,,,,,36-480-2011,36-480-30807-2011
36,Volkswagen,480,Gol,2010,GOL 1.0,30807,,,,,,,36-480-2010,36-480-30807-2010
36,Volkswagen,480,Gol,2009,GOL 1.0,30807,,,,,,,36-480-2009,36-480-30807-2009
36,Volkswagen,480,Gol,2008,GOL 1.0,30807,,,,,,,36-480-2008,36-480-30807-2008
36,Volkswagen,480,Gol,2007,GOL 1.0,30807,,,,,,,36-480-2007,36-480-30807-2007
36,Volkswagen,480,Gol,2006,GOL 1.0,30807,,,,,,,36-480-2006,36-480-30807-2006
36,Volkswagen,480,Gol,2005,GOL 1.0,30807,,,,,,,36-480-2005,36-480-30807-2005
36,Volkswagen,480,Gol,2004,GOL 1.0,30807,,,,,,,36-480-2004,36-480-30807-2004
36,Volkswagen,480,Gol,2003,GOL 1.0,30807,,,,,,,36-480-2003,36-480-30807-2003
36,Volkswagen,480,Gol,2002,GOL 1.0,30807,,,,,,,36-480-2002,36-480-30807-2002
36,Volkswagen,480,Gol,2001,GOL 1.0,30807,,,,,,,36-480-2001,36-480-30807-2001
36,Volkswagen,480,Gol,2000,GOL 1.0,30807,,,,,,,36-480-2000,36-480-30807-2000
36,Volkswagen,480,Gol,1999,GOL 1.0,30807,,,,,,,36-480-1999,36-480-30807-1999
36,Volkswagen,480,Gol,1998,GOL 1.0,30807,,,,,,,36-480-1998,36-480-30807-1998
36,Volkswagen,480,Gol,1997,GOL 1.0,30807,,,,,,,36-480-1997,36-480-30807-1997
36,Volkswagen,480,Gol,1996,GOL 1.0,30807,,,,,,,36-480-1996,36-480-30807-1996
36,Volkswagen,480,Gol,1995,GOL 1.0,30807,,,,,,,36-480-1995,36-480-30807-1995
36,Volkswagen,480,Gol,1994,GOL 1.0,30807,,,,,,,36-480-1994,36-480-30807-1994
36,Volkswagen,480,Gol,1993,GOL 1.0,30807,,,,,,,36-480-1993,36-480-30807-1993
36,Volkswagen,480,Gol,1992,GOL 1.0,30807,,,,,,,36-480-1992,36-480-30807-1992
36,Volkswagen,480,Gol,1991,GOL 1.0,30807,,,,,,,36-480-1991,36-480-30807-1991
36,Volkswagen,480,Gol,1990,GOL 1.0,30807,,,,,,,36-480-1990,36-480-30807-1990
36,Volkswagen,480,Gol,1989,GOL 1.0,30807,,,,,,,36-480-1989,36-480-30807-1989
36,Volkswagen,480,Gol,1988,GOL 1.0,30807,,,,,,,36-480-1988,36-480-30807-1988
36,Volkswagen,480,Gol,1987,GOL 1.0,30807,,,,,,,36-480-1987,36-480-30807-1987
36,Volkswagen,480,Gol,1986,GOL 1.0,30807,,,,,,,36-480-1986,36-480-30807-1986
36,Volkswagen,480,Gol,1985,GOL 1.0,30807,,,,,,,36-480-1985,36-480-30807-1985
36,Volkswagen,480,Gol,1984,GOL 1.0,30807,,,,,,,36-480-1984,36-480-30807-1984
36,Volkswagen,480,Gol,1983,GOL 1.0,30807,,,,,,,36-480-1983,36-480-30807-1983
36,Volkswagen,480,Gol,1982,GOL 1.0,30807,,,,,,,36-480-1982,36-480-30807-1982
36,Volkswagen,480,Gol,1981,GOL 1.0,30807,,,,,,,36-480-1981,36-480-30807-1981
36,Volkswagen,480,Gol,1995,GOL 1.0,21282,Gasolina,N/D,12.8,N/D,15.2,N/D,36-480-1995,36-480-21282-1995
36,Volkswagen,480,Gol,2022,GOL 1.0,21282,,,,,,,36-480-2022,36-480-21282-2022
36,Volkswagen,480,Gol,2021,GOL 1.0,21282,,,,,,,36-480-2021,36-480-21282-2021
36,Volkswagen,480,Gol,2020,GOL 1.0,21282,,,,,,,36-480-2020,36-480-21282-2020
36,Volkswagen,480,Gol,2019,GOL 1.0,21282,,,,,,,36-480-2019,36-480-21282-2019
36,Volkswagen,480,Gol,2018,GOL 1.0,21282,,,,,,,36-480-2018,36-480-21282-2018
36,Volkswagen,480,Gol,2017,GOL 1.0,21282,,,,,,,36-480-2017,36-480-21282-2017
