RM,VKT,Ano
Região Metropolitana de Florianópolis,10588822367.027515,2019
Região Metropolitana de Fortaleza,18736901800.20482,2019
Região Metropolitana de Goiânia,22199142727.21946,2019
Região Metropolitana de João Pessoa,7317845261.145415,2019
Região Metropolitana de Macapá,3093504099.702157,2019
Região Metropolitana de Maceió,5434148647.497321,2019
Região Metropolitana de Manaus,14325563401.808077,2019
Região Metropolitana de Natal,8134894471.134741,2019
Região Metropolitana de Palmas,4727354135.785125,2019
Região Metropolitana de Porto Alegre,29920979709.2189,2019
Região Metropolitana de Porto Velho,4490337550.488015,2019
Região Metropolitana de Recife,15119317513.883371,2019
Região Metropolitana de Salvador,14383551199.908983,2019
Região Metropolitana de São Paulo,148842822632.6187,2019
Região Metropolitana do Rio de Janeiro,37394390029.12915,2019
Região Metropolitana do Vale do Rio Cuiabá,10362801930.742924,2019
Rio Branco,2310848685.6971283,2019
