RM,VKT,Ano
Campo Grande,5774845556.411009,2015
RIDE-Teresina,4958812214.146602,2015
RIDE-DF,23712350506.794422,2015
RM Boa Vista,1816123914.100292,2015
RM São Luís,5671569951.666236,2015
RM Vitória,7703063497.021637,2015
RM Aracaju,3448943196.1062493,2015
RMBH,24693678495.862904,2015
RM Belém,7474139580.560944,2015
RM Curitiba,21665952936.82966,2015
RM Florianópolis,7286178706.196489,2015
RM Fortaleza,13057366162.860931,2015
RM Goiânia,15514883971.290274,2015
RM João Pessoa,4947651402.729554,2015
RM Macapá,2472363106.303777,2015
RM Maceió,3944785225.191384,2015
RM Manaus,9088683220.438768,2015
RM Natal,5845863253.906826,2015
RM Palmas,3207926899.402656,2015
RM Porto Alegre,21341525218.36351,2015
RM Porto Velho,3129664728.428653,2015
RM Recife,11803474181.897575,2015
RM Salvador,11069474490.674368,2015
RMSP,89320699722.1542,2015
RMRJ,34190394085.714104,2015
RM Cuiabá,6604315645.133381,2015
Rio Branco,1557698422.717943,2015
Campo Grande,5763959381.556275,2016
RIDE-Teresina,5022611073.341049,2016
RIDE-DF,23821312883.35622,2016
RM Boa Vista,1905204205.146751,2016
RM São Luís,5623791519.463576,2016
RM Vitória,7610165700.346441,2016
RM Aracaju,3339303111.4332504,2016
RMBH,25072397194.180798,2016
RM Belém,7438642702.044725,2016
RM Curitiba,21844100140.66449,2016
RM Florianópolis,7510860413.26302,2016
RM Fortaleza,13168691057.808746,2016
RM Goiânia,15323770225.544895,2016
RM João Pessoa,5060709975.308097,2016
RM Macapá,2029574095.979632,2016
RM Maceió,3968219640.709344,2016
RM Manaus,9014058759.530249,2016
RM Natal,5670078999.004518,2016
RM Palmas,3257557577.34056,2016
RM Porto Alegre,20887411377.66328,2016
RM Porto Velho,3209095878.28398,2016
RM Recife,11479097577.088535,2016
RM Salvador,11113828942.675535,2016
RMSP,88636952212.00479,2016
RMRJ,32159600086.40911,2016
RM Cuiabá,6477031612.07555,2016
Rio Branco,1514840227.9056864,2016
Campo Grande,5755024171.369086,2017
RIDE-Teresina,5113175536.776394,2017
RIDE-DF,24978897319.712376,2017
RM Boa Vista,2155809332.38995,2017
RM São Luís,5865747885.623221,2017
RM Vitória,7553245377.810924,2017
RM Aracaju,3248547186.6554537,2017
RMBH,25732624272.250423,2017
RM Belém,7507284344.294809,2017
RM Curitiba,22858814554.350235,2017
RM Florianópolis,7412487272.946312,2017
RM Fortaleza,13091006416.286943,2017
RM Goiânia,15581155102.4947,2017
RM João Pessoa,5021680622.68178,2017
RM Macapá,2047094907.4891105,2017
RM Maceió,3925723068.943561,2017
RM Manaus,8990003105.289024,2017
RM Natal,5679075202.871733,2017
RM Palmas,3342046829.1375628,2017
RM Porto Alegre,21702349369.645573,2017
RM Porto Velho,3344397232.2535567,2017
RM Recife,11867170935.209463,2017
RM Salvador,11162352666.510948,2017
RMSP,89527005551.3794,2017
RMRJ,29644515802.6259,2017
RM Cuiabá,6784142097.206342,2017
Rio Branco,1505546767.652186,2017
Campo Grande,5793889536.910611,2018
RIDE-Teresina,4978632460.932664,2018
RIDE-DF,23729022765.63536,2018
RM Boa Vista,2151566681.717787,2018
RM São Luís,5939238423.02537,2018
RM Vitória,7576419311.616545,2018
RM Aracaju,3193319388.317923,2018
RMBH,24849647473.805904,2018
RM Belém,7664284198.204071,2018
RM Curitiba,22867208722.476105,2018
RM Florianópolis,7408964794.084916,2018
RM Fortaleza,13175784421.151278,2018
RM Goiânia,15713743356.220612,2018
RM João Pessoa,5073789829.216397,2018
RM Macapá,2079497434.818017,2018
RM Maceió,3863437656.505183,2018
RM Manaus,9249222534.786089,2018
RM Natal,5512191777.182275,2018
RM Palmas,3415593482.474388,2018
RM Porto Alegre,20935395117.958096,2018
RM Porto Velho,3368786551.8645105,2018
RM Recife,11572185571.5139,2018
RM Salvador,10638874042.689009,2018
RMSP,89781350162.88937,2018
RMRJ,26277351167.45407,2018
RM Cuiabá,7877885472.035944,2018
Rio Branco,1491890425.0452206,2018
Campo Grande,6032536374.963013,2019
RIDE-Teresina,5190607165.342862,2019
RIDE-DF,24480766595.556866,2019
RM Boa Vista,2569288668.349356,2019
RM São Luís,5868382869.023419,2019
RM Vitória,7793608055.217488,2019
RM Aracaju,3319085646.4373617,2019
RMBH,26047068215.71329,2019
RM Belém,8000132961.627099,2019
RM Curitiba,23447658997.509583,2019
RM Florianópolis,7766257259.136099,2019
RM Fortaleza,13765484556.620005,2019
RM Goiânia,16345846928.886597,2019
RM João Pessoa,5182635488.804545,2019
RM Macapá,2288400017.936366,2019
RM Maceió,4125219130.782908,2019
RM Manaus,9889052966.43885,2019
RM Natal,5544613989.309463,2019
RM Palmas,3583092833.737721,2019
RM Porto Alegre,21509941034.034985,2019
RM Porto Velho,3446882534.187198,2019
RM Recife,11754547196.445518,2019
RM Salvador,11108341484.3005,2019
RMSP,94229481479.02396,2019
RMRJ,26840421955.20819,2019
RM Cuiabá,8146848242.654736,2019
Rio Branco,1537085870.1341455,2019
