Marca_Cod,Modelo_Cod,Ano,Chave_A
91,2324,2019,91-2324-2019
91,951,2019,91-951-2019
91,952,2019,91-952-2019
91,2322,2019,91-2322-2019
91,2810,2019,91-2810-2019
13,194,2015,13-194-2015
13,196,2015,13-196-2015
13,197,2015,13-197-2015
13,2681,2015,13-2681-2015
13,198,2015,13-198-2015
13,199,2015,13-199-2015
13,200,2015,13-200-2015
13,901,2015,13-901-2015
13,839,2015,13-839-2015
13,2663,2015,13-2663-2015
13,2502,2015,13-2502-2015
13,195,2015,13-195-2015
13,894,2015,13-894-2015
13,809,2015,13-809-2015
13,841,2015,13-841-2015
13,201,2015,13-201-2015
13,2809,2015,13-2809-2015
14,202,2022,14-202-2022
14,588,2022,14-588-2022
14,589,2022,14-589-2022
14,1052,2022,14-1052-2022
14,204,2022,14-204-2022
14,205,2022,14-205-2022
14,206,2022,14-206-2022
14,207,2022,14-207-2022
14,2753,2022,14-2753-2022
14,208,2022,14-208-2022
14,1103,2022,14-1103-2022
14,591,2022,14-591-2022
14,209,2022,14-209-2022
14,210,2022,14-210-2022
14,893,2022,14-893-2022
14,935,2022,14-935-2022
14,2311,2022,14-2311-2022
14,2354,2022,14-2354-2022
14,857,2022,14-857-2022
14,973,2022,14-973-2022
14,211,2022,14-211-2022
14,212,2022,14-212-2022
14,213,2022,14-213-2022
14,216,2022,14-216-2022
14,217,2022,14-217-2022
14,218,2022,14-218-2022
14,219,2022,14-219-2022
14,220,2022,14-220-2022
14,221,2022,14-221-2022
14,222,2022,14-222-2022
14,268,2022,14-268-2022
14,1087,2022,14-1087-2022
14,603,2022,14-603-2022
14,269,2022,14-269-2022
14,604,2022,14-604-2022
14,2543,2022,14-2543-2022
15,270,2021,15-270-2021
15,271,2021,15-271-2021
15,1023,2021,15-1023-2021
15,605,2021,15-605-2021
15,272,2021,15-272-2021
15,273,2021,15-273-2021
15,2382,2021,15-2382-2021
15,606,2021,15-606-2021
15,887,2021,15-887-2021
15,275,2021,15-275-2021
15,278,2021,15-278-2021
15,276,2021,15-276-2021
15,961,2021,15-961-2021
15,2725,2021,15-2725-2021
15,280,2021,15-280-2021
15,279,2021,15-279-2021
15,281,2021,15-281-2021
15,282,2021,15-282-2021
15,1057,2021,15-1057-2021
15,608,2021,15-608-2021
15,609,2021,15-609-2021
15,1070,2021,15-1070-2021
